Values_03_17_59,Values_03_26_33,Values_03_35_07,Values_03_43_50,Values_03_53_09,Values_04_03_46,Values_04_29_11
-0.000879945,-0.000879945,-0.000879945,-0.000879945,-0.000879945,-0.000879945,0.001798058
0.003865511,0.001530015,-7.59E-05,-0.001285481,-0.002197171,-0.002877862,-0.002319413
0.009887328,0.005271128,0.002117832,-0.000242473,-0.002011997,-0.003328047,-0.003931502
0.017952518,0.011105287,0.00646032,0.003006214,0.000431527,-0.001475352,-0.003554368
0.028390656,0.019354306,0.013269056,0.008775526,0.005446744,0.002992522,-0.000657355
0.041463883,0.030272318,0.02279409,0.017313301,0.013280269,0.010321474,0.00498954
0.057508782,0.044188191,0.035360825,0.028943405,0.02425537,0.020834554,0.013673395
0.076878136,0.061447256,0.051311808,0.044007628,0.038713946,0.034874033,0.025732788
0.099924271,0.082394933,0.070990634,0.062849828,0.057000885,0.052785905,0.041514025
0.126969077,0.107347174,0.09471276,0.085787056,0.079435423,0.074891432,0.061355428
0.158277128,0.136564164,0.122739685,0.113084119,0.106286004,0.101462221,0.085557671
0.194029249,0.170224626,0.155253825,0.14492889,0.137745913,0.132696086,0.114360281
0.234298977,0.208403129,0.192336447,0.181410713,0.173912016,0.168696031,0.147918632
0.279032879,0.251051331,0.233949584,0.222502792,0.214767482,0.209453193,0.186285001
0.328035907,0.297984287,0.279922987,0.268049588,0.260169474,0.254834729,0.22939393
0.380962657,0.348872613,0.329946875,0.31775994,0.309842495,0.304577293,0.277052918
0.437315152,0.403241044,0.383570946,0.371206324,0.363377762,0.35828646,0.328938867
0.496447455,0.460473609,0.440209796,0.427830334,0.420238661,0.415442113,0.384600495
0.557577099,0.519825294,0.499154543,0.486954132,0.479771969,0.475409456,0.443466517
0.61980295,0.580439728,0.559590116,0.547797267,0.541224222,0.53745499,0.504859089
0.682128819,0.641372105,0.620617356,0.609497964,0.603762284,0.600766508,0.568011691
0.743491824,0.701616284,0.681278824,0.671137749,0.666496992,0.66447597,0.63209041
0.802794235,0.76013479,0.740587039,0.731768145,0.728508587,0.72768397,0.696217331
0.85893745,0.815890362,0.797553813,0.790438134,0.788872703,0.789484607,0.759495016
0.910856445,0.867877503,0.851219236,0.846221027,0.846685587,0.848989498,0.821030065
0.957553757,0.915153223,0.900679641,0.898240186,0.901088126,0.905350568,0.879957745
0.99812963,0.956863831,0.94511159,0.94569081,0.951286004,0.957779041,0.935456742
1.031814545,0.992274248,0.983798578,0.987864659,0.996573011,1.005567777,0.986788327
1.057975461,1.020771451,1.016132328,1.024149802,1.036329733,1.048089272,1.03324367
