Values,Values_03_58_22,Values_04_00_21,Values_04_15_06,Values_04_16_40,Values_04_31_13,Values_04_32_37,Values_04_47_20,Values_04_48_32,Values_05_03_37,Values_05_04_35,Values_05_19_53,Values_05_20_34,Values_05_35_37,Values_05_36_04,Values_05_51_19,Values_05_51_33,Values_06_07_01,Values_06_07_02,Values_06_22_30,Values_06_22_44,Values_06_38_04,Values_06_38_32,Values_06_53_32,Values_06_54_23,Values_07_09_00,Values_07_10_12,Values_07_24_29,Values_07_26_00,Values_07_39_59,Values_07_41_49,Values_07_54_29,Values_07_55_28,Values_08_10_40,Values_08_25_55,Values_08_41_09,Values_08_56_19,Values_09_11_27,Values_09_26_33,Values_09_41_41,Values_09_57_13,Values_10_15_02,Values_10_31_47,Values_10_47_51,Values_11_03_23,Values_11_18_40,Values_11_33_51,Values_11_49_02,Values_12_04_14,Values_12_19_25,Values_12_34_37,Values_12_49_49,Values_13_05_02,Values_13_20_15,Values_13_35_31,Values_13_51_00,Values_14_06_36,Values_14_22_12,Values_14_37_48,Values_14_53_35,Values_15_08_52,Values_15_24_04,Values_15_39_17,Values_15_54_30,Values_16_09_45,Values_16_24_58,Values_16_40_51,Values_16_58_19,Values_17_15_31,Values_17_32_47,Values_17_50_08,Values_18_07_26,Values_18_24_44,Values_18_41_59,Values_18_59_34,Values_19_19_38
0.8522228130766896,0.8522228130766896,0.2445025016402144,0.8522228130766896,0.2445025016402144,0.8522228130766896,0.2445025016402144,0.8522228130766896,0.2445025016402144,0.8522228130766896,0.2445025016402144,0.8522228130766896,0.2445025016402144,0.8522228130766896,0.2445025016402144,0.8522228130766896,0.2445025016402144,0.8522228130766896,0.2445025016402144,0.2445025016402144,0.8522228130766896,0.2445025016402144,0.8522228130766896,0.2445025016402144,0.8522228130766896,0.2445025016402144,0.8522228130766896,0.2445025016402144,0.8522228130766896,0.2445025016402144,0.8522228130766896,0.8522228130766896,0.2445025016402144,0.2445025016402144,0.2445025016402144,0.2445025016402144,0.2445025016402144,0.2445025016402144,0.2445025016402144,0.2445025016402144,0.2445025016402144,0.2445025016402144,0.2445025016402144,0.2445025016402144,0.2445025016402144,0.2445025016402144,0.2445025016402144,0.2445025016402144,0.2445025016402144,0.2445025016402144,0.2445025016402144,0.2445025016402144,0.2445025016402144,0.2445025016402144,0.2445025016402144,0.2445025016402144,0.2445025016402144,0.2445025016402144,0.2445025016402144,0.2445025016402144,0.2445025016402144,0.2445025016402144,0.2445025016402144,0.2445025016402144,0.2445025016402144,0.2445025016402144,0.2445025016402144,0.2445025016402144,0.2445025016402144,0.2445025016402144,0.2445025016402144,0.2445025016402144,0.2445025016402144,0.2445025016402144,0.2445025016402144,0.2445025016402144
0.0744312637603886,0.0741758858888437,-0.0068207005756976,0.0738191557991045,-0.0069572153833506,0.0734585371318906,-0.0071568974485267,0.0730968858462784,-0.0073996241454192,0.0727351248932225,-0.00767343465705,0.0723733235774867,-0.0079698121771365,0.0720113813936233,-0.0082824810453667,0.0716492137694927,-0.0086067766639667,0.0712867884305549,-0.0089392166851021,-0.0092771904972561,0.070924125716554,-0.0096187316070747,0.070561291518793,-0.0099623507792647,0.0701983895931252,-0.01030691382924,0.0698355546598987,-0.0106515520181797,0.0694729464465197,-0.010995596132799,0.0691107445642379,0.068821406283952,-0.0113385277558869,-0.0116799430463438,-0.0120195256673434,-0.0123570264456205,-0.0126922480157483,-0.0130250331806272,-0.0133552560586014,-0.0136828153323039,-0.0140076290907105,-0.0143296308854896,-0.0146487667189787,-0.0149649927477669,-0.0152782735416157,-0.0155885807751256,-0.0158958922595885,-0.016200191243081,-0.0165014659249175,-0.0167997091434192,-0.0170949182029763,-0.0173870948162379,-0.0176762451404634,-0.0179623798919254,-0.0182455145241683,-0.0185256694581074,-0.0188028703536675,-0.0190771484124798,-0.0193485407025741,-0.0196170904949424,-0.0198828476034473,-0.0201458687181657,-0.0204062177235545,-0.020663965991064,-0.0209191926384686,-0.0211719847468368,-0.0214224375283687,-0.021670654437434,-0.0219167472189221,-0.0221608358915141,-0.0224030486610095,-0.0226435217639837,-0.0228823992422076,-0.0231198326488123,-0.0233559806905473,-0.023591008810421393
-0.1060259392828893,-0.1065383703487263,-0.1029769703891888,-0.1072522485715974,-0.103251735609286,-0.1079732338737122,-0.1036506576666236,-0.1086961064169233,-0.1041341440610194,-0.1094191315411358,-0.1046786986730929,-0.1101422018750911,-0.105267600844409,-0.1108655300297843,-0.1058885322230185,-0.1115892914578553,-0.1065323374941058,-0.1123135553272667,-0.1071921819466973,-0.1078629416787855,-0.113038284831042,-0.1085407566789119,-0.1137633515849989,-0.1092227032640556,-0.114488551099527,-0.1099065542281404,-0.115213616628188,-0.1105906030209327,-0.1159382311142095,-0.1112735344330082,-0.1166620374607437,-0.1172402406097728,-0.1119543290253057,-0.1126321921062627,-0.1133065006542423,-0.1139767634397065,-0.1146425909197528,-0.1153036724162392,-0.1159597587538181,-0.1166106490156323,-0.1172561804199891,-0.1178962205755297,-0.1185306615607802,-0.1191594154058771,-0.1197824106620182,-0.1203995898189109,-0.1210109073887532,-0.1216163285165213,-0.1222158280107932,-0.1228093897147654,-0.1233970061514931,-0.1239786783957799,-0.1245544161322013,-0.1251242378676837,-0.1256881712714635,-0.1262462536190538,-0.1267985323203818,-0.1273450655120164,-0.1278859226960052,-0.1284211854060559,-0.128950947884426,-0.1294753177504818,-0.1299944166441316,-0.1305083808241611,-0.131017361705896,-0.1315215263203141,-0.1320210576807967,-0.1325161550421354,-0.1330070340394013,-0.1334939267008239,-0.1339770813244151,-0.1344567622174861,-0.1349332492986235,-0.135406837563111,-0.1358778364189715,-0.13634656890092992
-0.213141060553026,-0.2139067439226089,-0.1839193093595633,-0.2149714934004677,-0.1843331405591077,-0.2160458949192496,-0.1849297637209779,-0.2171228435740095,-0.1856508236863225,-0.2181999072674778,-0.1864617469681526,-0.2192769705971441,-0.187337945146489,-0.2203543680901984,-0.1882613072901912,-0.221432371323208,-0.1892183740797389,-0.2225110908417538,-0.1901990980898344,-0.1911959467767934,-0.2235904779737288,-0.19220324518785,-0.2246703467193953,-0.193216694302252,-0.2257503969927572,-0.1942330184258453,-0.2268302353657958,-0.1952497067824904,-0.2279093929460574,-0.196264823505735,-0.2289873407385744,-0.2298484422401958,-0.1972768672460302,-0.1982846668586218,-0.1992873034585117,-0.2002840518632603,-0.2012743363848185,-0.2022576973133365,-0.2032337654137269,-0.204202242464262,-0.2051628863741016,-0.206115499790126,-0.207059921379948,-0.2079960191721726,-0.2089236854924724,-0.2098428331441155,-0.2107533925667975,-0.2116553097685204,-0.2125485448754006,-0.2134330711817594,-0.2143088746041931,-0.2151759534699671,-0.2160343185808026,-0.2168839935060129,-0.2177250150657516,-0.218557433970512,-0.2193813155883473,-0.220196740810956,-0.2210038069935471,-0.2218026289408719,-0.2225933399154283,-0.2233760926403723,-0.224151060272765,-0.2249184373180894,-0.2256784404629531,-0.2264313092994775,-0.2271773069204673,-0.2279167203620055,-0.2286498608740688,-0.2293770640091132,-0.2300986895120373,-0.2308151210084192,-0.2315267654884882,-0.2322340525865084,-0.232937433664253,-0.23363738070762777
-0.3219825153091314,-0.3229966893571883,-0.2630454080773178,-0.3244050170767197,-0.2635989115947118,-0.3258248804127716,-0.2643915284298252,-0.3272477549353918,-0.2653468349843383,-0.3286706232488468,-0.2664196305181118,-0.3300933912398056,-0.2675777891464129,-0.3315165248221322,-0.268797653071458,-0.3329403967920167,-0.2700616423433734,-0.3343651635470827,-0.2713566339539668,-0.2726727894806975,-0.335790769257557,-0.2740026962028583,-0.3372169753914552,-0.2753407378355703,-0.3386433916985279,-0.2766826339720893,-0.3400695037865446,-0.2780251026490671,-0.3414946968620779,-0.279365612295413,-0.3429182761193718,-0.3440554704246432,-0.2807021984972235,-0.2820333278808677,-0.2833577964166204,-0.2846746530230404,-0.2859831418903816,-0.2872826587484318,-0.2885727175818411,-0.2898529252220612,-0.2911229619076951,-0.2923825663925927,-0.2936315245417484,-0.294869660608614,-0.2960968305924684,-0.2973129172182356,-0.2985178261920477,-0.2997114834654554,-0.300893833306302,-0.3020648370232692,-0.303224472219034,-0.3043727324816015,-0.3055096274375787,-0.3066351831078717,-0.3077494425154005,-0.3088524665013522,-0.3099443347135762,-0.3110251467303185,-0.312095023287409,-0.3131541075737424,-0.3142025665644525,-0.3152405923565991,-0.3162684034760384,-0.3172862461178313,-0.3182943952899491,-0.3192931558253446,-0.3202828632343558,-0.321263884365872,-0.3222366178503532,-0.3232014943097414,-0.3241589763104171,-0.3251095580527392,-0.3260537647912764,-0.3269921519827982,-0.3279253041708741,-0.32885383361664267
-0.425538008717729,-0.4267956838909336,-0.3373786579044612,-0.4285402431939603,-0.3380723749712378,-0.4302975735485991,-0.3390593012043054,-0.4320581835942167,-0.3402456103907375,-0.4338185798002774,-0.3415759079611052,-0.4355787180937608,-0.3430108487509413,-0.4373392052117207,-0.3445214647163244,-0.4391005203175994,-0.3460862317986851,-0.4408628701784491,-0.3476890833804159,-0.3493179740473287,-0.4426261965363127,-0.3509638275754969,-0.4443902134170243,-0.3526197663084708,-0.4461544458374789,-0.3542805472687796,-0.4479182641569314,-0.3559421491233867,-0.4496809136179975,-0.3576014686392741,-0.4514415397012586,-0.4528479592822617,-0.3592560965105391,-0.360904150864383,-0.3625441528868406,-0.3641749333974406,-0.3657955623140582,-0.3674052951646048,-0.3690035323672699,-0.3705897881355166,-0.3721636666750529,-0.373724843936565,-0.375273053629196,-0.376808076509833,-0.3783297322143509,-0.3798378730695823,-0.3813323794659282,-0.3828131564648863,-0.3842801313915039,-0.385733252228129,-0.3871724866564384,-0.3885978216377969,-0.3900092634394742,-0.3914068380346807,-0.3927905918157408,-0.3941605925681379,-0.3955169306619861,-0.3968597204169926,-0.3981891016030255,-0.3995052410343687,-0.4008083342212113,-0.4020986070361869,-0.4033763173582963,-0.4046417566484996,-0.4058952514199529,-0.4071371645597098,-0.4083678964667156,-0.409587885966066,-0.4107976109646449,-0.4119975888275538,-0.4131883764433184,-0.4143705699669489,-0.4155448042303721,-0.4167117518133809,-0.4178721217827937,-0.4190266581086236
-0.5242920744897822,-0.5257880619557812,-0.4075692254656092,-0.5278615040827319,-0.4084036706163994,-0.5299483147192166,-0.4095832860161612,-0.5320384778079453,-0.4109974786456938,-0.5341281302813734,-0.412581076371861,-0.5362173063952123,-0.4142878206075193,-0.5383067631435902,-0.416083660462956,-0.540397091260693,-0.4179432973576861,-0.5424885524329588,-0.4198478478264694,-0.4217831544396289,-0.5445810907063187,-0.4237385488022033,-0.5466743777355301,-0.4257059455807895,-0.5487678592051022,-0.4276791797225615,-0.5508607959064685,-0.4296535211104724,-0.5529522990221963,-0.4316253179730634,-0.5550413603894508,-0.5567101138204773,-0.4335917336020038,-0.4355505508516708,-0.4375000261175744,-0.4394387796577289,-0.4413657127844087,-0.4432799450610065,-0.4451807664792743,-0.4470676009263873,-0.4489399782041794,-0.450797512563678,-0.4526398862361174,-0.4544668368055255,-0.4562781475624206,-0.45807364018133,-0.459853169229264,-0.4616166181235711,-0.4633638962470556,-0.4650949370050448,-0.4668096966456049,-0.4685081537146608,-0.4701903090383447,-0.4718561861489482,-0.4735058320843623,-0.4751393185007871,-0.476756743049018,-0.4783582309640379,-0.4799439368248206,-0.4815140464364632,-0.4830687787930796,-0.484608388072991,-0.4861331656228194,-0.4876434418772344,-0.4891395881709051,-0.4906220183914371,-0.4920911904309703,-0.4935476073877189,-0.4949918184741266,-0.4964244196047112,-0.4978460536225235,-0.4992574101477051,-0.5006592250318477,-0.5020522794060641,-0.5034373983279739,-0.5048154490343523
-0.6183192783284039,-0.6200482159342671,-0.4732271105563601,-0.6224432297977952,-0.4742028064011456,-0.6248515773894455,-0.4755735853559613,-0.6272631535351949,-0.4772126937670202,-0.6296738303323794,-0.4790455818611565,-0.6320837483599472,-0.4810193718915379,-0.6344938243486828,-0.4830951488894017,-0.6369047658739897,-0.485244002860386,-0.6393168941203158,-0.4874443553933449,-0.4896800283781314,-0.6417301601601022,-0.4919388298547229,-0.6441441983117698,-0.4942115184663379,-0.6465583802762609,-0.496491046052201,-0.6489718628987448,-0.4987720031538803,-0.6513836291459121,-0.5010502117315561,-0.65379252322732,-0.6557167238994757,-0.503322424529397,-0.5055861018865143,-0.507839245059062,-0.5100802710349449,-0.5123079180154475,-0.5145211737215312,-0.5167192207872102,-0.5189013950278338,-0.5210671534596985,-0.5232160497477978,-0.5253477153499383,-0.5274618450405908,-0.5295581858336873,-0.5316365285558514,-0.5336967015080389,-0.535738565781027,-0.5377620118927153,-0.5397669575019819,-0.5417533459959184,-0.5437211458050745,-0.545670350324838,-0.5476009783486314,-0.549513074934227,-0.5514067126358035,-0.553281993046592,-0.5551390485963116,-0.5569780445558623,-0.5587991811962237,-0.5606026960556204,-0.5623888662609268,-0.5641580108548157,-0.5659104930683998,-0.5676467224898595,-0.5693671570700244,-0.5710723049154046,-0.572762725811068,-0.5744390324211005,-0.5761018911327096,-0.5777520224928931,-0.5793902012144813,-0.5810172557281819,-0.582634067261977,-0.5842415684492206,-0.5858407414688709
-0.7072728257392007,-0.7092291933812472,-0.5341851479418069,-0.711938531664506,-0.5353026660461546,-0.7146605371319827,-0.536863213423574,-0.7173854486864221,-0.538724452834897,-0.7201089772048678,-0.5408028414422035,-0.7228313974984824,-0.5430391658921191,-0.7255537956236933,-0.545389857973919,-0.7282770013556592,-0.5478225534549043,-0.7310013999893329,-0.5503130964402841,-0.5528433761559652,-0.7337269543341525,-0.5553997432032505,-0.7364532663629868,-0.5579718500021585,-0.7391796390777838,-0.560551802865341,-0.7419051309266007,-0.5631335413991354,-0.744628602431034,-0.5657123827913637,-0.7473487561180596,-0.7495215386534942,-0.5682846855173659,-0.5708475997321385,-0.5733988808912815,-0.5759367497788254,-0.5784597868214552,-0.5809668519132074,-0.5834570233324731,-0.5859295510417539,-0.5883838208789717,-0.5908193270446244,-0.5932356509505552,-0.5956324449599525,-0.5980094199235324,-0.6003663356767702,-0.6027029938705951,-0.6050192326507314,-0.6073149228158377,-0.6095899651809492,-0.6118442889200304,-0.6140778507262695,-0.6162906346550239,-0.618482652545283,-0.6206539449331837,-0.6228045823838312,-0.6249346671816142,-0.6270443353184498,-0.6291337587287965,-0.6312031477139809,-0.6332527535063011,-0.6352828709140189,-0.6372938409942986,-0.6392860536873595,-0.6412599503566794,-0.6432160261685481,-0.6451548322545058,-0.6470769775898807,-0.6489831305262536,-0.6508740199370348,-0.6527504359136213,-0.6546132299812599,-0.6564633148029186,-0.6583016633445791,-0.6601293074981005,-0.6619473361604317
-0.7910067930086938,-0.7931849287837923,-0.5901910805220902,-0.7962014365559194,-0.5914510818155311,-0.7992293074329483,-0.593200164243589,-0.8022595601374971,-0.5952809565397208,-0.80528784780967,-0.5976012938097485,-0.8083146075749532,-0.6000959014205569,-0.8113411046025033,-0.6027167619861619,-0.8143682963511708,-0.6054282091699821,-0.8173966368901144,-0.6082036232984694,-0.6110230461524822,-0.8204261054710178,-0.6138714349385082,-0.8234562766681988,-0.6167373841021617,-0.8264863900019331,-0.6196121908538992,-0.829515410991638,-0.6224891714075642,-0.8325420833989823,-0.6253631590307012,-0.8355649739299619,-0.8379795108916038,-0.6282301337296065,-0.6310869474522668,-0.6339311189334925,-0.636760679633377,-0.6395740574101144,-0.6423699882593962,-0.6451474490528989,-0.6479056060924097,-0.6506437756384673,-0.6533613935587241,-0.6560579919693865,-0.6587331812538357,-0.6613866362543322,-0.664018085719683,-0.6666273043196739,-0.6692141066933899,-0.6717783431259834,-0.6743198965537807,-0.6768386806498278,-0.6793346388136292,-0.6818077439177197,-0.6842579986979822,-0.6866854366942783,-0.6890901236620874,-0.6914721593914338,-0.6938316798685852,-0.6961688597265029,-0.6984839149230073,-0.7007771055942542,-0.7030487390205385,-0.7052991726476707,-0.7075288170912667,-0.7097381390635273,-0.7119276641484419,-0.7140979793617823,-0.7162497354197792,-0.7183836486444344,-0.7205005024562227,-0.7226011483797753,-0.7246865065227331,-0.7267575654864211,-0.7288153816724673,-0.730861077974877,-0.7328958418503367
