Values,Values_15_22_01,Values_15_31_29,Values_15_40_55,Values_15_50_20,Values_15_59_44,Values_16_09_08,Values_16_18_34,Values_16_27_57,Values_16_37_20,Values_16_46_43,Values_16_56_05,Values_17_05_28,Values_17_14_55,Values_17_24_17,Values_17_33_40,Values_17_43_01,Values_17_52_23,Values_18_01_45,Values_18_11_09,Values_18_20_31,Values_18_29_52,Values_18_39_14,Values_18_48_34,Values_18_57_57,Values_19_07_20,Values_19_16_42,Values_19_26_01,Values_19_35_23,Values_19_44_42,Values_19_54_03,Values_20_03_25,Values_20_12_46,Values_20_22_07,Values_20_31_27,Values_20_40_47,Values_20_50_06,Values_20_59_26,Values_21_08_46,Values_21_18_08,Values_21_27_28,Values_21_36_47,Values_21_46_07,Values_21_55_26,Values_22_04_51,Values_22_14_16,Values_22_23_36,Values_22_32_55,Values_22_42_13,Values_22_51_31,Values_23_00_50,Values_23_10_09,Values_23_19_30,Values_23_28_47,Values_23_38_06,Values_23_47_26,Values_23_56_43,Values_00_06_01,Values_00_15_18,Values_00_24_36,Values_00_33_55,Values_00_43_12,Values_00_52_30,Values_01_01_48,Values_01_11_06,Values_01_20_26,Values_01_29_42,Values_01_39_00,Values_01_48_16,Values_01_57_35,Values_02_06_53,Values_02_16_05,Values_02_24_52,Values_02_33_36,Values_02_42_05,Values_02_50_54,Values_03_01_43,Values_03_43_18,Values_03_55_42,Values_04_08_16,Values_04_20_04,Values_04_32_36,Values_04_44_48,Values_04_56_00,Values_05_06_42,Values_05_17_58,Values_05_28_55,Values_05_39_41,Values_05_50_47,Values_06_02_06,Values_06_13_11,Values_06_24_22,Values_06_35_08
0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.0100379854604294,0.010037985460429472
-0.0039962625434598,-0.0143501256304603,-0.0211445056266477,-0.0245274474960236,-0.0250373446202445,-0.0244703078343308,-0.0233214757135042,-0.0218438794125804,-0.0201944899716198,-0.0184721641512113,-0.0167304181860969,-0.0149930625898216,-0.0132696995981592,-0.0115646737025604,-0.0098806103164134,-0.0082195544021876,-0.00658333641017,-0.0049737004923599,-0.003392338425377,-0.0018408814546359,-0.0003208815376041,0.0011661989336511,0.0026189805151343,0.0040361419787475,0.0054163797598398,0.0067583547100224,0.0080606286083509,0.0093215916029791,0.0105393803889543,0.0117117857516614,0.0128361472414192,0.0139092322582727,0.0149270968302981,0.0158849261077739,0.0167768545417452,0.0175957697374709,0.0183331114281081,0.0189786897957441,0.0195205675809587,0.019945079063404,0.0202370927105018,0.0203806497668194,0.0203600989761624,0.0201617559602718,0.0197759183435196,0.0191988104862649,0.0184338657475679,0.0174918551674614,0.0163897585037037,0.015148731893202,0.0137917796458193,0.0123416850403292,0.0108195054242035,0.009243664922643,0.0076294994569548,0.0059890538271972,0.0043309701616145,0.0026603878566781,0.0009788502745004,-0.0007157413366081,-0.002429073140728,-0.0041702195135231,-0.0059512770988111,-0.007786833990185,-0.0096932968407413,-0.0116881136086566,-0.0137889379001233,-0.0160127831330121,-0.0183752121303521,-0.0208896015324871,-0.0235665119412961,-0.0264131854507266,-0.029433183444564,-0.0326261699807176,-0.035987839761297,-0.0395099843707908,-0.0431806861975966,-0.0143501256304603,-0.0211445056266477,-0.0245274474960236,-0.0250373446202445,-0.0244703078343308,-0.0233214757135042,-0.0218438794125804,-0.0201944899716198,-0.0184721641512113,-0.0167304181860969,-0.0149930625898216,-0.0132696995981592,-0.0115646737025604,-0.0098806103164134,-0.0082195544021876,-0.006583336410170044
-0.0102991662765956,-0.0310468086635365,-0.0447493565432529,-0.051650969539276,-0.0527227834632939,-0.0516327301199872,-0.0493834818028217,-0.0464828333003137,-0.0432454254858448,-0.0398688975952132,-0.0364592781747461,-0.0330628741944474,-0.0296977718254093,-0.0263718201143951,-0.0230896198298088,-0.0198547255354607,-0.0166703442331251,-0.013539580135838,-0.0104654964153786,-0.0074510925064012,-0.0044992590232283,-0.0016127489850106,0.001205817243527,0.0039539104667169,0.0066290189848449,0.0092285488785118,0.0117497031376749,0.0141893420262235,0.0165438243936495,0.0188088273321441,0.0209791398857651,0.0230484255640249,0.0250089484339434,0.0268512590306721,0.0285638401777439,0.0301327207535197,0.031541080130289,0.0327688911509388,0.0337926892682739,0.0345856116059294,0.035117915651789,0.0353582367708886,0.0352758193317395,0.0348437761454478,0.0340430450519144,0.0328662108780701,0.0313200397755307,0.0294257693878433,0.0272169457068612,0.0247354810563018,0.0220270997396416,0.0191372472856077,0.0161080699921447,0.0129765511848078,0.0097735407033919,0.0065232985389388,0.0032432421377506,-5.626088233455703e-05,-0.0033720687442027,-0.006708336820402,-0.0100763847926405,-0.0134942783315116,-0.0169860846575546,-0.0205808075418342,-0.024311047562655,-0.0282114622498863,-0.0323171165067916,-0.0366618176549081,-0.0412765237384751,-0.0461879009461621,-0.0514170889772499,-0.0569787149565866,-0.062880179658827,-0.069121225675669,-0.0756937855749283,-0.0825820982894735,-0.0897630738744374,-0.0310468086635365,-0.0447493565432529,-0.051650969539276,-0.0527227834632939,-0.0516327301199872,-0.0493834818028217,-0.0464828333003137,-0.0432454254858448,-0.0398688975952132,-0.0364592781747461,-0.0330628741944474,-0.0296977718254093,-0.0263718201143951,-0.0230896198298088,-0.0198547255354607,-0.016670344233125134
-0.0136672670298243,-0.0448595221128792,-0.0655904277374755,-0.0761502069616237,-0.0778368726305047,-0.0762676578358555,-0.0729656779722365,-0.0686954760415721,-0.0639302089306189,-0.0589663100518855,-0.0539613591802805,-0.0489828629552468,-0.044056279533302,-0.0391921258036509,-0.0343963307032613,-0.0296734261802503,-0.0250275452870772,-0.0204627717114853,-0.0159832231082376,-0.01159300736241,-0.0072961435774927,-0.0030965065333428,0.0010021783333555,0.0049962846324305,0.0088821856073451,0.0126561146862298,0.0163139932308233,0.0198512292679844,0.0232624868094945,0.0265414221128259,0.0296803806976628,0.0326700475362571,0.0354990428856553,0.0381534584148796,0.0406163339970193,0.042867087297061,0.0448809300062954,0.0466283416877632,0.0480747307665744,0.0491804947772218,0.0499017886807918,0.0501923820958081,0.0500069493439339,0.049305870871985,0.048061059176949,0.0462615920154243,0.0439174696955845,0.0410600997060834,0.0377391933075088,0.0340170348356587,0.0299618013202112,0.0256414961272887,0.0211194011253897,0.0164512067348717,0.0116834651466827,0.0068528300008265,0.0019856330046894,-0.0029024377249326,-0.0078065858068428,-0.0127329823123009,-0.0176985312963877,-0.0227302122848342,-0.027863944513809,-0.033142983943459,-0.0386159221587383,-0.0443343979203846,-0.0503506546992775,-0.0567150826048107,-0.063473873828708,-0.0706669010574953,-0.0783259026389558,-0.0864730313794027,-0.095119799642263,-0.1042664337093415,-0.113901634556925,-0.1240027287128276,-0.1345361813508886,-0.0448595221128792,-0.0655904277374755,-0.0761502069616237,-0.0778368726305047,-0.0762676578358555,-0.0729656779722365,-0.0686954760415721,-0.0639302089306189,-0.0589663100518855,-0.0539613591802805,-0.0489828629552468,-0.044056279533302,-0.0391921258036509,-0.0343963307032613,-0.0296734261802503,-0.02502754528707727
-0.0137694614495589,-0.0554654963689968,-0.0833500167769705,-0.0977110775269198,-0.1000667568868862,-0.0980625308932626,-0.0937553315218818,-0.0881686587670923,-0.0819351584403969,-0.0754501370575309,-0.0689217912572099,-0.0624375360810328,-0.0560290883883933,-0.0497087945322167,-0.0434832641188403,-0.037357475247129,-0.0313360384136017,-0.0254236386421022,-0.0196251338933597,-0.0139454835958819,-0.0083896279501915,-0.0029623973288863,0.0023315110251274,0.0074874818336973,0.0125008639922922,0.0173667980628553,0.0220799986871674,0.0266344970269498,0.0310233429382424,0.0352382622834352,0.039269261479164,0.0431041695573119,0.0467281081031814,0.0501228823311935,0.0532662941010616,0.0561313931402543,0.05868571136295,0.0608905736786818,0.0627006556003966,0.0640640657744466,0.0649233575709899,0.0652179670331073,0.06488852474802,0.0638831417911982,0.0621650336824469,0.0597198997676751,0.0565608751023511,0.0527292428844418,0.0482904844822107,0.0433268802834658,0.0379288022984098,0.0321867170372593,0.0261850976163896,0.0199984973363814,0.0136893656847608,0.007306933494614,0.0008865893501393,-0.005550563583945,-0.011998017280702,-0.0184639181352416,-0.0249707073570416,-0.0315542040715658,-0.0382620652149112,-0.0451516404613332,-0.0522873148940497,-0.0597374855194506,-0.0675713464500915,-0.0758556632081691,-0.0846517032401733,-0.0940124628636358,-0.1039802964578357,-0.1145850184189106,-0.1258425175080359,-0.1377538989178152,-0.1503051503802593,-0.1634673122848469,-0.1771971172678324,-0.0554654963689968,-0.0833500167769705,-0.0977110775269198,-0.1000667568868862,-0.0980625308932626,-0.0937553315218818,-0.0881686587670923,-0.0819351584403969,-0.0754501370575309,-0.0689217912572099,-0.0624375360810328,-0.0560290883883933,-0.0497087945322167,-0.0434832641188403,-0.037357475247129,-0.0313360384136017
-0.0103390164697505,-0.0626076680837936,-0.0977772949846393,-0.1160874743330955,-0.1191680669355558,-0.1167735748980909,-0.1115087073511231,-0.1046584094593944,-0.0970159455332059,-0.0890756540250555,-0.0810954412690641,-0.0731813401878047,-0.065370206693962,-0.0576753727850798,-0.0501034783258011,-0.0426594155976908,-0.0353478247320553,-0.0281736157506557,-0.0211420751526671,-0.014258759747583,-0.0075293263500301,-0.0009593976834156,0.0054454875811665,0.0116798307364243,0.017738044231412,0.0236142528043972,0.0293020365425678,0.0347941223616588,0.0400820238475926,0.0451556240293858,0.0500026916406685,0.05460831919772,0.0589542713557851,0.0630182356044578,0.0667729766930648,0.0701854152592631,0.073215686366175,0.0758162933586324,0.077931566801882,0.079497770365342,0.0804443493853672,0.0806969306859213,0.0801826194902625,0.0788377129124069,0.076617051312634,0.0735030795817655,0.0695119660475345,0.0646945766005667,0.0591317719468656,0.0529254597411939,0.0461879582442433,0.0390321121667033,0.0315636510596619,0.0238761554704306,0.0160481744003486,0.0081417052263304,0.0002013403089091,-0.0077463048289955,-0.0156929522534866,-0.0236486835831934,-0.0316414316576778,-0.0397157839176249,-0.0479310246937709,-0.0563584436511601,-0.0650780269238855,-0.0741747116887821,-0.0837344190193053,-0.0938400855171351,-0.1045678963264244,-0.115983887704515,-0.1281410440995654,-0.1410769713390511,-0.1548121905595585,-0.1693490696128634,-0.1846713875913504,-0.2007445095802228,-0.2175161316929501,-0.0626076680837936,-0.0977772949846393,-0.1160874743330955,-0.1191680669355558,-0.1167735748980909,-0.1115087073511231,-0.1046584094593944,-0.0970159455332059,-0.0890756540250555,-0.0810954412690641,-0.0731813401878047,-0.065370206693962,-0.0576753727850798,-0.0501034783258011,-0.0426594155976908,-0.035347824732055354
-0.0030311992691101,-0.0659520183671605,-0.108545550381559,-0.1309584642962832,-0.1348221109210185,-0.1320830158254276,-0.1259083245028613,-0.1178472415848967,-0.1088549608109251,-0.0995251008728392,-0.0901643965885971,-0.0808962035349938,-0.0717613853092581,-0.0627734063614979,-0.0539382808628012,-0.0452602808210535,-0.0367436278391717,-0.0283930816837616,-0.0202140476465161,-0.0122124283543911,-0.0043943956703244,0.0032337954710615,0.0106658921613209,0.0178956145320548,0.0249165233311843,0.0317218013459576,0.0383039630904435,0.0446545006676397,0.0507634660596376,0.0566189837451215,0.0622066828261016,0.0675090352326426,0.0725045867683811,0.0771670720454632,0.0814644154486179,0.0853576428779456,0.0887997706079236,0.0917348082005599,0.0940971234667225,0.0958115727200197,0.0967949800372596,0.0969596801891369,0.0962197639722228,0.0945001625702859,0.0917476561426426,0.0879415533940138,0.0831009507287455,0.0772860027251605,0.0705925608506807,0.0631417965168532,0.0550677331833874,0.0465055178573965,0.0375822110403459,0.0284105937013127,0.0190855242965848,0.0096819624292232,0.0002538559458855,-0.009166566753067,-0.0185691978878673,-0.0279660140540495,-0.0373903954425865,-0.0468956289820473,-0.0565525195162879,-0.066446147013469,-0.0766719104710448,-0.0873310731516177,-0.098526062618272,-0.110355784121675,-0.1229111830302847,-0.1362712496689898,-0.15049960782283,-0.1656417769951941,-0.1817231562188831,-0.198747746674294,-0.2166976081224922,-0.2355330243396325,-0.2551933334705151,-0.0659520183671605,-0.108545550381559,-0.1309584642962832,-0.1348221109210185,-0.1320830158254276,-0.1259083245028613,-0.1178472415848967,-0.1088549608109251,-0.0995251008728392,-0.0901643965885971,-0.0808962035349938,-0.0717613853092581,-0.0627734063614979,-0.0539382808628012,-0.0452602808210535,-0.036743627839171775
0.0085186856005716,-0.0651458726253518,-0.1153107678964881,-0.1419870120944121,-0.1466946189154259,-0.1436578221411497,-0.1366216878098269,-0.1274028710415528,-0.1171200143312466,-0.1064663655062819,-0.0957966320424135,-0.0852501868470502,-0.0748707527749902,-0.0646710602829076,-0.0546558337224135,-0.04482818610218,-0.0351914707818803,-0.0257499223326854,-0.0165087566673153,-0.0074739730735351,0.0013479401817937,0.0099502528605791,0.0183261215905449,0.026468584100164,0.0343704305918819,0.0420239721694828,0.0494207231445694,0.0565510066042787,0.0634034839321323,0.0699646016402838,0.0762179434949667,0.0821434729244986,0.0877166509976294,0.0929074201878747,0.0976790569714644,0.1019869223323421,0.1057771870283906,0.1089856895191091,0.1115372115563178,0.1133456338741566,0.1143156398354608,0.1143467826956658,0.1133406427639808,0.1112112260538646,0.1078975601812569,0.1033759291011057,0.0976682465445746,0.0908436585022582,0.0830126185080585,0.0743152015807529,0.0649069017653605,0.0549451010011104,0.0445782747485201,0.0339385869131375,0.0231374238164373,0.0122629101098817,0.0013785063845431,-0.0094778416399407,-0.020294134208612,-0.0310842019967689,-0.0418868290553942,-0.0527639349842529,-0.0637977411840247,-0.0750869717291953,-0.0867422539017879,-0.098880966219811,-0.1116218246312605,-0.1250795015471364,-0.1393595440909827,-0.1545538073993256,-0.1707365577335252,-0.1879613414644224,-0.2062586690787942,-0.2256345310619066,-0.2460697402247161,-0.2675200746267049,-0.2899171741575262,-0.0651458726253518,-0.1153107678964881,-0.1419870120944121,-0.1466946189154259,-0.1436578221411497,-0.1366216878098269,-0.1274028710415528,-0.1171200143312466,-0.1064663655062819,-0.0957966320424135,-0.0852501868470502,-0.0748707527749902,-0.0646710602829076,-0.0546558337224135,-0.04482818610218,-0.0351914707818803
0.0246788282149498,-0.059834386860193,-0.1177282492426108,-0.1488366616899701,-0.1544524251898912,-0.1511663888760601,-0.1433179780083143,-0.1329949145106199,-0.1214810431733954,-0.1095697010244736,-0.0976627368195109,-0.0859142197634401,-0.0743695610798296,-0.0630398736539611,-0.0519279171149244,-0.0410351006992272,-0.0303634570286612,-0.0199163200288871,-0.0096984091304404,0.0002844267366492,0.01002557865857,0.0195179946612628,0.0287543610430072,0.0377271280446209,0.0464283925307511,0.0548496601701687,0.0629815063737858,0.0708131469254384,0.0783319195210946,0.0855226691781539,0.0923670244886161,0.098842548309198,0.1049217468885261,0.1105709270247925,0.1157489053722262,0.1204056033405378,0.1244806148292844,0.1279019251033252,0.1305851016235838,0.1324334761646492,0.1333400664844586,0.1331921490491406,0.1318792912858472,0.1293050077755365,0.1254008735566122,0.120140251184855,0.1135477533145333,0.1057012141088204,0.09672529756542,0.0867786231572086,0.0760379257304672,0.064682762594893,0.0528831176346268,0.0407907300804422,0.0285337418081754,0.0162136533646205,0.0039036017589188,-0.008352640952079,-0.0205411180214698,-0.032677472133319,-0.0448058479851556,-0.0569967325058301,-0.0693436620576063,-0.081958861459342,-0.0949680045869167,-0.1085043768161709,-0.1227027658224687,-0.1376934096110005,-0.1535962964753739,-0.1705160525041649,-0.1885375821437801,-0.2077225613781114,-0.2281068322169427,-0.2496987141719049,-0.2724782269746693,-0.2963971986218357,-0.3213802102357875,-0.059834386860193,-0.1177282492426108,-0.1488366616899701,-0.1544524251898912,-0.1511663888760601,-0.1433179780083143,-0.1329949145106199,-0.1214810431733954,-0.1095697010244736,-0.0976627368195109,-0.0859142197634401,-0.0743695610798296,-0.0630398736539611,-0.0519279171149244,-0.0410351006992272,-0.03036345702866128
0.0457909489948104,-0.0496904448968233,-0.1154825979482564,-0.1512015469860712,-0.1577934648797985,-0.1543085301618133,-0.1456980485782602,-0.1343248946593505,-0.1216401264599819,-0.1085377507450464,-0.0954659490339425,-0.0825921442238507,-0.0699622371461945,-0.0575848186495014,-0.045459995452519,-0.0335869204842758,-0.0219658491411265,-0.010598837901495,0.0005101968637211,0.0113558017427201,0.021931440165077,0.0322298885635328,0.0422434791944391,0.051964165587942,0.0613834241438509,0.0704920168947643,0.0792796371485466,0.0877344505502031,0.0958425334955527,0.103587201478707,0.1109482136132733,0.1179008356788458,0.1244147446227705,0.1304527636811583,0.1359694334614,0.1409094568740112,0.1452061153932563,0.1487798548218218,0.1515373959600763,0.153371944095869,0.1541653222210361,0.1537930301209946,0.1521331146229726,0.149079026169212,0.1445551791706808,0.1385321086601675,0.1310369976728325,0.1221560561589943,0.1120277607099478,0.1008289141245061,0.0887572649709806,0.076014493001248,0.0627921931669036,0.0492618826213188,0.0355686964547561,0.0218277308086933,0.0081219700211053,-0.0054988730936219,-0.0190188162713265,-0.0324552703364773,-0.0458576970836041,-0.0593050862713125,-0.0729021892748804,-0.0867745903710035,-0.1010628303552648,-0.1159158945316679,-0.1314844260395499,-0.1479140257017396,-0.1653389590770265,-0.1838765234748993,-0.2036222484721715,-0.224646030564925,-0.2469892484489649,-0.2706628726570976,-0.295646563720242,-0.3218887338486814,-0.3493075233501822,-0.0496904448968233,-0.1154825979482564,-0.1512015469860712,-0.1577934648797985,-0.1543085301618133,-0.1456980485782602,-0.1343248946593505,-0.1216401264599819,-0.1085377507450464,-0.0954659490339425,-0.0825921442238507,-0.0699622371461945,-0.0575848186495014,-0.045459995452519,-0.0335869204842758,-0.02196584914112659
