Values,Values_14_53_36,Values_15_01_37,Values_15_09_35,Values_15_17_38,Values_15_25_36,Values_15_33_35,Values_15_41_34,Values_15_49_35,Values_15_57_35,Values_16_05_35,Values_16_13_33,Values_16_21_36,Values_16_29_37,Values_16_37_38,Values_16_45_36,Values_16_53_35,Values_17_01_34,Values_17_09_34,Values_17_17_33,Values_17_25_31,Values_17_33_31,Values_17_41_33,Values_17_49_31,Values_17_57_32,Values_18_05_30,Values_18_13_29,Values_18_21_31,Values_18_29_29,Values_18_37_32,Values_18_45_33,Values_18_53_31,Values_19_01_32,Values_19_09_30,Values_19_17_31,Values_19_25_29,Values_19_33_29,Values_19_41_28,Values_19_49_29,Values_19_57_31,Values_20_05_29,Values_20_13_28,Values_20_21_27,Values_20_29_29,Values_20_37_28,Values_20_45_27,Values_20_53_26,Values_21_01_27,Values_21_09_26,Values_21_17_24,Values_21_25_22,Values_21_33_22,Values_21_41_20,Values_21_49_21,Values_21_57_20,Values_22_05_19,Values_22_13_21,Values_22_21_21,Values_22_29_20,Values_22_37_19,Values_22_45_18,Values_22_53_18,Values_23_01_16,Values_23_09_18,Values_23_17_20,Values_23_25_22,Values_23_33_28,Values_23_41_44,Values_23_45_52
0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612,0.2218297831355612
0.0249289517577254,0.0273031823795022,0.0275678164250613,0.0269168625202906,0.0258069462884596,0.0244549276573372,0.0229858598382307,0.0214735829467274,0.0199621209388747,0.0184780678206645,0.0170378199954108,0.0156517729346336,0.0143267214560129,0.0130672026439456,0.0118762246405599,0.0107556470960804,0.0097063725524338,0.0087284441897924,0.0078211067650645,0.0069828635302743,0.0062115461794945,0.0055044040734603,0.0048582115428543,0.0042693873315019,0.003734117901829,0.0032484760476429,0.0028085275497015,0.0024104208279001,0.0020504570648495,0.001725140578546,0.0014312109880272,0.0011656598268621,0.0009257347536314,0.0007089345188494,0.0005129975409286,0.0003358864693044,0.0001757705933388,3.100746555369799e-05,-9.98753114351033e-05,-0.0002181975187206,-0.0003251426097215,-0.0004217726677422,-0.0005090419676324,-0.0005878091572558,-0.0006588481213082,-0.0007228576183282,-0.0007804697934688,-0.0008322576744887,-0.0008787417560694,-0.0009203957727705,-0.0009576517537868,-0.0009909044460066,-0.0010205151827299,-0.0010468152685288,-0.0010701089432089,-0.0010906759801754,-0.0011087739682991,-0.0011246403205636,-0.0011384940468147,-0.0011505373231993,-0.0011609568862555,-0.0011699252762922,-0.0011776019503459,-0.0011841342824178,-0.0011896584664326,-0.0011943003344212,-0.0011981761010467,-0.0012013930436207,-0.0012027856906626764
-0.0105134227846634,-0.0057625426447845,-0.0052171125989872,-0.0064915668754696,-0.0086753275161061,-0.0113379220361471,-0.0142314732858808,-0.0172097559171682,-0.0201856572442419,-0.0231065857375663,-0.0259401286561536,-0.0286657391350195,-0.0312699871799173,-0.0337439061566736,-0.0360815551242171,-0.0382792700070047,-0.0403352880289183,-0.0422495564376015,-0.0440236130470615,-0.0456604737587202,-0.0471644934141319,-0.0485411877493601,-0.0497970190034017,-0.0509391571442058,-0.0519752333159617,-0.0529131026463469,-0.0537606309660309,-0.0545255155458208,-0.0552151449238454,-0.0558364982707998,-0.056396081212779,-0.0568998928025511,-0.0573534173367092,-0.0577616346928199,-0.0581290434726659,-0.0584596921860825,-0.0587572147486921,-0.0590248675484738,-0.0592655661745292,-0.0594819205705393,-0.0596762678762149,-0.059850702581016,-0.0600071038579436,-0.0601471601074934,-0.0602723908366281,-0.0603841660552498,-0.0604837233968796,-0.0605721831806756,-0.0606505616276116,-0.0607197824343172,-0.0607806868938213,-0.0608340427390714,-0.0608805518666558,-0.060920857084134,-0.0609555480090995,-0.0609851662324468,-0.0610102098456199,-0.0610311374197124,-0.0610483715120732,-0.0610623017664285,-0.0610732876630222,-0.061081660968501,-0.0610877279264123,-0.061091771223911,-0.0610940517656471,-0.0610948102798847,-0.0610942687790597,-0.0610926318930392,-0.06109146217698107
-0.0238215621584575,-0.0167477408122242,-0.0159115293077637,-0.017768367665557,-0.0209666151674403,-0.0248700632669506,-0.0291128324642068,-0.033479271630487,-0.0378410044161838,-0.0421205755275271,-0.0462702693583782,-0.0502598459476115,-0.0540695426218107,-0.057686168712607,-0.0611009931494628,-0.0643086466423232,-0.067306572735307,-0.0700947490063013,-0.0726755126289502,-0.0750533947815748,-0.0772349144501041,-0.079228313796543,-0.0810432391179361,-0.082690385339733,-0.0841811288449466,-0.0855271742111975,-0.0867402365648282,-0.0878317746336192,-0.0888127820723819,-0.0896936377473882,-0.090484010397381,-0.0911928097620763,-0.0918281747829486,-0.0923974894416206,-0.0929074177102311,-0.0933639505001635,-0.0937724590431819,-0.0941377506029414,-0.0944641236649839,-0.0947554207521537,-0.0950150777605398,-0.0952461692505319,-0.0954514494924528,-0.095633389309811,-0.0957942089060763,-0.0959359069482388,-0.0960602862176738,-0.0961689761553123,-0.0962634526222948,-0.0963450551837497,-0.0964150022021638,-0.0964744040068086,-0.0965242743779163,-0.0965655405630336,-0.0965990520198019,-0.0966255880555976,-0.096645864515106,-0.096660539648733,-0.0966702192761323,-0.0966754613444333,-0.0966767799662548,-0.096674649012256,-0.096669505319561,-0.096661751569362,-0.0966517588799903,-0.0966398691528274,-0.0966263972040979,-0.0966116327096919,-0.09660384984846215
-0.036300295059242,-0.0269641776142225,-0.0258279808277109,-0.0282244711124109,-0.0323750768220784,-0.0374462781396715,-0.0429593200523172,-0.0486322622993432,-0.0542973952649253,-0.0598535979566203,-0.0652386060722335,-0.0704129718112406,-0.0753509210915205,-0.0800352583663763,-0.0844546152298575,-0.0886020238042399,-0.0924742055811254,-0.0960712112640612,-0.0993961949601989,-0.102455198010178,-0.1052568780178759,-0.1078121600554533,-0.1101338156578055,-0.1122359934707628,-0.1141337344020597,-0.1158425051070306,-0.1173777785246322,-0.118754681419433,-0.1199877189593292,-0.1210905772559355,-0.122075997822801,-0.1229557135025609,-0.1237404334427521,-0.1244398646419217,-0.1250627587852434,-0.1256169749531761,-0.126109550831624,-0.1265467769878251,-0.1269342704295505,-0.1272770449872284,-0.1275795770497003,-0.1278458658994453,-0.1280794883778064,-0.1282836479349961,-0.128461218310578,-0.1286147822075594,-0.1287466653739681,-0.1288589665288387,-0.128953583562583,-0.1290322364243198,-0.1290964870808057,-0.1291477569050742,-0.1291873418157751,-0.1292164254596054,-0.1292360906980289,-0.1292473296273328,-0.129251052334896,-0.1292480945699415,-0.1292392244818717,-0.129225148559415,-0.1292065168842207,-0.1291839277985522,-0.1291579320687127,-0.1291290366149909,-0.1290977078694732,-0.1290643748111559,-0.1290294317219494,-0.1289932406993481,-0.1289747821377759
-0.0461863486300306,-0.0346467363968297,-0.0332010379009284,-0.0360947794161505,-0.0411362426896477,-0.0473028585051221,-0.0540080324764914,-0.060906620787769,-0.0677934823836329,-0.0745450129478531,-0.0810851453720515,-0.0873657053178117,-0.0933552272077146,-0.099032730060834,-0.1043843623416934,-0.1094016664575379,-0.1140807163846385,-0.1184216821989956,-0.1224285564095227,-0.1261088896384981,-0.1294734570471536,-0.1325358276871867,-0.1353118441006881,-0.1378190419039872,-0.1400760501207568,-0.1421020141404784,-0.143916076934677,-0.1455369432268529,-0.1469825390605102,-0.148269767933505,-0.1494143560269375,-0.1504307735963094,-0.15133221714372,-0.1521306369111651,-0.1528367957132299,-0.1534603474334347,-0.154009926039649,-0.154493238371651,-0.1549171560022813,-0.1552878031127018,-0.1556106385519657,-0.1558905311391417,-0.1561318278692829,-0.1563384150888084,-0.156513772944835,-0.1566610235608172,-0.1567829734555237,-0.1568821507524577,-0.1569608377191595,-0.1570210991548332,-0.1570648071102377,-0.1570936623907541,-0.1571092132470628,-0.1571128716218152,-0.1571059272813382,-0.1570895601207558,-0.1570648508977497,-0.1570327906189806,-0.1569942887713158,-0.1569501805648288,-0.1569012333297508,-0.1568481521918068,-0.1567915851277212,-0.1567321274889286,-0.1566703260696549,-0.1566066827805999,-0.1565416579820892,-0.156475673520832,-0.1564424434008481
-0.0531832658867844,-0.0394963521263186,-0.0377311070758831,-0.0410800147158058,-0.0469515268017149,-0.0541420781304928,-0.0619621565465956,-0.07000643616582,-0.0780342106219674,-0.0859005550540406,-0.0935163350414589,-0.1008251259504673,-0.1077900887601598,-0.1143866766688556,-0.1205987107909678,-0.1264163553305875,-0.1318351147958476,-0.1368553291289833,-0.1414818555755346,-0.1457237585220764,-0.1495939153509169,-0.1531085061010542,-0.1562863960968875,-0.1591484471032256,-0.1617168055409232,-0.1640142175698479,-0.1660634133864514,-0.1678865901050173,-0.1695050080256261,-0.1709387016953248,-0.1722062968949344,-0.1733249181873125,-0.1743101687442594,-0.1751761640686037,-0.1759356029797658,-0.1765998619689296,-0.1771791020370622,-0.1776823799792704,-0.178117758514696,-0.1784924116113779,-0.1788127228197753,-0.1790843754869748,-0.1793124344436167,-0.1795014192393157,-0.1796553692893429,-0.1797779014738566,-0.1798722608099844,-0.1799413648546108,-0.1799878424876871,-0.180014067701568,-0.1800221889809197,-0.1800141548182721,-0.1799917358543799,-0.1799565440889335,-0.1799100495595008,-0.1798535948372285,-0.1797884076474994,-0.179715611885751,-0.179636237259927,-0.1795512277603975,-0.1794614491280919,-0.1793676954699698,-0.1792706951436278,-0.1791711160161255,-0.1790695701877633,-0.1789666182536032,-0.1788627731665945,-0.178758503754555,-0.17870634516634956
-0.0571494961684464,-0.0413686185900649,-0.0392730901508311,-0.043035237932604,-0.0496765095336415,-0.0578201900861248,-0.0666786591777029,-0.0757893683540475,-0.0848778780196614,-0.0937790872215987,-0.1023915203111146,-0.1106509743378476,-0.1185155537092012,-0.1259573662124031,-0.1329580635788501,-0.13950654659009,-0.1455978325043544,-0.1512324865698341,-0.1564162627050699,-0.1611597496692794,-0.1654779182302652,-0.1693895331343786,-0.1729164410162869,-0.1760827755971247,-0.1789141363504012,-0.181436798220248,-0.1836770013162583,-0.1856603545289386,-0.1874113701770157,-0.1889531313245689,-0.1903070815306343,-0.1914929192810696,-0.1925285759723054,-0.1934302561933636,-0.1942125210716596,-0.1948883986089563,-0.1954695084075154,-0.1959661914807333,-0.196387638658488,-0.1967420133533658,-0.1970365661490017,-0.1972777398979527,-0.1974712648522217,-0.1976222439122097,-0.1977352284149028,-0.1978142850916031,-0.197863054919283,-0.1978848046350755,-0.1978824716753323,-0.1978587032732895,-0.1978158904020484,-0.1977561972036822,-0.1976815864798378,-0.197593841767853,-0.1974945864702492,-0.197385300447197,-0.1972673344338358,-0.1971419225993571,-0.1970101935189795,-0.1968731797937059,-0.1967318265172289,-0.1965869987637402,-0.196439488238345,-0.1962900192120137,-0.1961392538461515,-0.1959877969908881,-0.1958362005306845,-0.1956849673373616,-0.19560963160595518
-0.0577792597809577,-0.0399549055338926,-0.0375175320966765,-0.0416509346339066,-0.0490019142923642,-0.0580282696301728,-0.0678489846320271,-0.0779471952656468,-0.0880165327248399,-0.0978728499479167,-0.107403049295601,-0.1165356189975527,-0.1252239238993172,-0.1334369486358362,-0.1411543366003835,-0.1483638439988087,-0.1550600879689651,-0.1612439201499197,-0.1669220293338381,-0.172106546010171,-0.1768145325752542,-0.1810673194395598,-0.1848897002942632,-0.1883090336549828,-0.1913543143947566,-0.1940552804838294,-0.196441610305971,-0.1985422489729328,-0.2003848830043963,-0.2019955652318924,-0.203398478339983,-0.2046158169483563,-0.2056677643052235,-0.2065725395167124,-0.2073464935182834,-0.2080042355702416,-0.2085587759912068,-0.2090216745738039,-0.2094031873164702,-0.2097124066619197,-0.2099573923551708,-0.2101452914258462,-0.2102824467496521,-0.2103744942850515,-0.2104264494642178,-0.2104427834581514,-0.210427490144723,-0.2103841446621237,-0.2103159544223758,-0.2102258034292264,-0.2101162906912207,-0.2099897634682553,-0.2098483460149141,-0.2096939644245818,-0.2095283681134741,-0.2093531484162927,-0.2091697547099021,-0.2089795084292356,-0.2087836152866246,-0.2085831759637309,-0.2083791955041672,-0.2081725916051698,-0.2079642019698315,-0.2077547908585044,-0.207545054958585,-0.2073356286678636,-0.2071270888745028,-0.2069199593013631,-0.20681707345584524
-0.0547684517394056,-0.034948227886858,-0.0321564814592635,-0.036618870741528,-0.0446194562910169,-0.0544580538267585,-0.0651648830544791,-0.0761716286149368,-0.0871417746643505,-0.097873247583607,-0.108242042828857,-0.1181698087131104,-0.1276054890725478,-0.1365151705961024,-0.1448766534096172,-0.1526766729110402,-0.1599095389586461,-0.1665764570759756,-0.1726850961260062,-0.1782491531338893,-0.1832877881041907,-0.187824885913545,-0.1918881608243438,-0.1955081564990928,-0.1987172126597454,-0.201548471107781,-0.2040349827929449,-0.2062089587344378,-0.2081011863637125,-0.2097406133523027,-0.2111540860030533,-0.2123662197957205,-0.213399375400604,-0.214273713305905,-0.2150073027450856,-0.2156162645940978,-0.2161149322911323,-0.2165160189910249,-0.2168307827238755,-0.2170691841801963,-0.2172400338914031,-0.2173511271298224,-0.2174093659160219,-0.2174208682404134,-0.2173910650372226,-0.2173247857213081,-0.2172263332226597,-0.217099549515767,-0.216947872633722,-0.21677438612386,-0.2165818618419282,-0.2163727969227492,-0.2161494456805219,-0.2159138471244671,-0.2156678487016981,-0.2154131268023464,-0.2151512044987927,-0.2148834669312145,-0.2146111746911935,-0.214335475507149,-0.2140574144885513,-0.2137779431518941,-0.2134979274096801,-0.2132181546775458,-0.2129393402326712,-0.2126621329295104,-0.2123871203651179,-0.2121148335691545,-0.21197986387324344
