Values,Values_10_20_09,Values_10_31_10,Values_10_41_31,Values_10_51_46,Values_11_02_02,Values_11_12_16,Values_11_23_26,Values_11_34_07,Values_11_44_45,Values_11_55_23,Values_12_06_00,Values_12_16_36,Values_12_27_12,Values_12_37_04,Values_12_46_44,Values_12_56_40,Values_13_07_48,Values_13_20_05,Values_13_32_18,Values_13_44_00,Values_13_56_25,Values_14_08_55,Values_14_20_38,Values_14_33_05,Values_14_45_36,Values_14_57_50,Values_15_07_17,Values,Values_15_17_12,Values_15_27_03,Values_15_36_48,Values_15_46_33,Values_15_56_15,Values_16_05_57,Values_16_15_39,Values_16_25_19,Values_16_35_00,Values_16_44_39,Values_16_54_22,Values_17_04_02,Values_17_13_45,Values_17_23_24,Values_17_33_03,Values_17_42_41,Values_17_52_23,Values_18_02_02,Values_18_11_41,Values_18_21_21,Values_18_30_59,Values_18_40_35,Values_18_50_12,Values_18_59_52,Values_19_09_32,Values_19_19_11,Values_19_28_47,Values_19_38_25,Values_19_48_03,Values_19_57_42,Values_20_07_21,Values_20_16_59,Values_20_26_36,Values_20_36_15,Values_20_45_51,Values_20_55_27,Values_21_05_04,Values_21_14_42,Values_21_24_20,Values_21_33_57,Values_21_43_33,Values_21_53_10,Values_22_02_51,Values_22_12_30,Values_22_22_12,Values_22_31_49,Values_22_41_23,Values_22_50_59,Values_23_00_35,Values_23_10_13,Values_23_19_50,Values_23_29_25,Values_23_39_03,Values_23_48_40,Values_23_58_14,Values_00_07_49,Values_00_17_25,Values_00_27_00,Values_00_36_35,Values_00_46_10,Values_00_55_47,Values_01_05_22,Values_01_14_59,Values_01_24_35,Values_01_34_09,Values_01_43_44,Values_01_53_20,Values_02_02_56,Values_02_12_31,Values_02_21_41,Values_02_30_43,Values_02_39_31,Values_02_48_21
-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17,-1.39E-17
0.002484887,0.005757848,0.002021926,0.000380724,0.000586248,0.001770602,0.003170394,0.003712699,0.003729906,0.002788647,0.000732479,-0.001963217,-0.004172409,-0.005509571,-0.005945678,-0.005474273,-0.00445622,-0.003110869,-0.0015424,0.000190692,0.002045006,0.003985448,0.005984891,0.008023578,0.010087507,0.012166629,0.014253513,0.016342566,0.017678712,0.018429593,0.020511511,0.022586112,0.024651867,0.026707745,0.028753079,0.03078745,0.032810614,0.034822445,0.036822898,0.038811993,0.040789794,0.042756409,0.044711983,0.046656697,0.048590766,0.050514438,0.052427991,0.054331732,0.056225989,0.05811111,0.059987452,0.06185538,0.063715255,0.065567426,0.067412225,0.069249952,0.071080873,0.072905205,0.074723108,0.07653468,0.078339943,0.08013884,0.081931227,0.083716867,0.085495427,0.087266473,0.089029474,0.090783798,0.092528714,0.094263401,0.095986951,0.097698376,0.099396618,0.101080563,0.102749048,0.104400879,0.106034843,0.107649727,0.109244334,0.110817499,0.11236811,0.113895124,0.115397588,0.116874656,0.118325606,0.119749856,0.121146976,0.122516701,0.123858936,0.125173758,0.126461418,0.127722332,0.128957072,0.130166349,0.131350998,0.132511955,0.133650235,0.134766907,0.135863071,0.136939839,0.137998313,0.139039566
0.006816691,0.013409326,0.005958849,0.002684714,0.003088057,0.005440918,0.008220576,0.009301028,0.009363434,0.007540337,0.003516587,-0.001756562,-0.006036853,-0.008563096,-0.009290188,-0.008230334,-0.00611443,-0.003374032,-0.000208041,0.003272664,0.006984743,0.010860151,0.014846138,0.018904323,0.023007589,0.02713658,0.031277097,0.035418564,0.038065895,0.039553162,0.043675245,0.047780872,0.051867402,0.055933138,0.05997705,0.063998559,0.067997389,0.071973459,0.075926822,0.079857621,0.083766072,0.087652455,0.091517106,0.095360419,0.099182846,0.102984895,0.106767129,0.110530156,0.114274628,0.118001225,0.121710651,0.125403614,0.129080816,0.132742935,0.136390607,0.140024412,0.143644853,0.147252337,0.150847161,0.154429488,0.15799934,0.161556573,0.165100872,0.168631736,0.172148471,0.175650185,0.179135785,0.18260398,0.186053286,0.189482031,0.192888373,0.19627031,0.199625703,0.202952293,0.206247732,0.209509605,0.212735463,0.215922854,0.219069357,0.222172617,0.225230384,0.228240546,0.231201169,0.234110533,0.236967166,0.239769874,0.242517769,0.24521029,0.247847218,0.25042868,0.25295515,0.255427438,0.257846664,0.260214236,0.26253181,0.26480125,0.267024583,0.26920395,0.271341563,0.273439657,0.275500457,0.277526135
0.013423312,0.023389214,0.012241128,0.007340541,0.007934163,0.011440805,0.015581676,0.017196596,0.017332283,0.014686122,0.008781888,0.00104761,-0.005167119,-0.008735042,-0.009607985,-0.007842016,-0.004547549,-0.000361348,0.004432366,0.009676416,0.015250957,0.02105712,0.027018022,0.033077775,0.039197033,0.045347871,0.05150998,0.05766841,0.06160271,0.063812284,0.069933917,0.076028108,0.082091521,0.088122152,0.094118917,0.100081338,0.106009315,0.111902987,0.117762639,0.123588651,0.129381474,0.13514162,0.140869665,0.14656625,0.152232086,0.157867953,0.163474699,0.169053235,0.174604526,0.180129577,0.185629419,0.191105087,0.196557604,0.201987952,0.207397052,0.212785734,0.218154715,0.223504565,0.228835689,0.234148293,0.239442365,0.244717652,0.249973638,0.255209532,0.260424251,0.265616416,0.270784349,0.275926072,0.281039319,0.286121545,0.291169946,0.29618148,0.3011529,0.306080781,0.310961562,0.315791584,0.320567137,0.325284504,0.329940017,0.334530108,0.339051361,0.343500571,0.347874798,0.35217142,0.356388188,0.360523267,0.364575282,0.36854335,0.372427097,0.376226675,0.379942757,0.383576517,0.387129609,0.390604118,0.39400251,0.397327568,0.400582328,0.403770008,0.406893938,0.409957495,0.412964042,0.415916878
0.02255966,0.035961123,0.021127068,0.014604351,0.015380866,0.020027849,0.025512736,0.027658978,0.027896193,0.024485128,0.016785957,0.006704912,-0.001308889,-0.005771426,-0.006644561,-0.004053642,0.000501504,0.006185736,0.012638876,0.019663514,0.02710672,0.03484091,0.042766549,0.050811358,0.058924642,0.067070643,0.0752236,0.083364802,0.088562642,0.091480877,0.099562629,0.107604068,0.115601581,0.123553222,0.131458162,0.139316277,0.147127861,0.154893445,0.162613684,0.170289302,0.17792107,0.1855098,0.193056353,0.20056165,0.208026681,0.21545251,0.222840277,0.230191192,0.237506528,0.2447876,0.252035753,0.259252332,0.266438659,0.273596,0.280725533,0.287828319,0.294905259,0.301957063,0.308984215,0.315986938,0.322965161,0.329918491,0.336846188,0.343747141,0.350619852,0.357462432,0.364272586,0.371047628,0.377784482,0.384479703,0.3911295,0.397729769,0.404276128,0.410763963,0.417188475,0.423544738,0.429827757,0.436032528,0.442154114,0.448187706,0.454128703,0.459972781,0.465715967,0.471354714,0.476885967,0.482307227,0.487616603,0.492812859,0.497895444,0.502864503,0.507720883,0.512466104,0.517102329,0.521632304,0.52605929,0.530386984,0.53461943,0.538760921,0.542815917,0.546788946,0.550684534,0.554507128
0.034538557,0.051447846,0.03293373,0.024790821,0.025742942,0.031518131,0.038331299,0.04100622,0.041373451,0.037255143,0.027845169,0.015529954,0.005851495,0.000641572,-8.50E-05,0.003451407,0.009351164,0.016587428,0.024733413,0.033557544,0.042877221,0.052538251,0.062419921,0.072434678,0.082521356,0.092637111,0.102751391,0.112842332,0.119280998,0.122894645,0.132898143,0.142846526,0.152736325,0.162566016,0.172335337,0.182044777,0.191695238,0.201287816,0.210823678,0.220304002,0.229729964,0.239102738,0.24842352,0.257693544,0.266914101,0.276086554,0.285212336,0.294292958,0.303329991,0.312325051,0.321279783,0.330195822,0.339074771,0.347918158,0.356727398,0.365503753,0.374248288,0.382961826,0.391644905,0.400297737,0.408920167,0.417511637,0.426071153,0.434597261,0.443088024,0.451541011,0.459953292,0.468321443,0.476641554,0.484909258,0.493119752,0.501267845,0.509348,0.517354387,0.52528095,0.533121473,0.540869652,0.548519178,0.556063818,0.563497507,0.570814431,0.578009124,0.585076561,0.592012243,0.598812284,0.605473492,0.611993436,0.6183705,0.624603926,0.63069383,0.636641203,0.64244789,0.64811654,0.653650543,0.659053945,0.664331345,0.669487788,0.67452865,0.679459524,0.684286105,0.689014097,0.693649119
0.049709317,0.070210201,0.048015651,0.038251814,0.039372259,0.046264836,0.054392006,0.057593409,0.058119444,0.053351167,0.042313227,0.027874858,0.016665543,0.010856121,0.010424556,0.015029269,0.022359821,0.0312042,0.041078382,0.051722722,0.062928372,0.074516635,0.086347108,0.098318082,0.110358812,0.122420115,0.134467314,0.146476014,0.15413343,0.158429583,0.170317378,0.182133266,0.193874348,0.205539891,0.217130511,0.228647576,0.24009281,0.251468053,0.262775121,0.274015761,0.285191638,0.296304357,0.307355494,0.318346633,0.329279389,0.340155433,0.350976504,0.361744407,0.372461007,0.383128212,0.39374795,0.404322134,0.414852627,0.425341197,0.435789475,0.446198903,0.456570683,0.466905727,0.477204604,0.487467489,0.497694118,0.507883741,0.51803509,0.528146339,0.538215087,0.548238342,0.558212511,0.568133409,0.577996271,0.587795782,0.59752611,0.60718095,0.61675359,0.626236965,0.635623741,0.644906389,0.654077281,0.663128779,0.672053338,0.68084361,0.689492554,0.69799354,0.706340465,0.714527854,0.72255097,0.730405902,0.738089648,0.74560019,0.752936533,0.760098735,0.767087911,0.773906201,0.780556721,0.787043487,0.793371311,0.799545687,0.805572658,0.811458678,0.817210481,0.822834941,0.828338955,0.833729336
0.068432959,0.092622442,0.066740186,0.055351657,0.056633024,0.064633456,0.074061766,0.077787799,0.078501775,0.073140533,0.060556288,0.044104386,0.03149776,0.025237923,0.025252151,0.031050843,0.039901072,0.050412036,0.062051899,0.074539094,0.087641971,0.101159459,0.114932957,0.128847735,0.142824374,0.156808108,0.170760818,0.184656202,0.193510826,0.198476868,0.212212257,0.225856891,0.239408868,0.25286862,0.26623796,0.279519401,0.29271571,0.305829645,0.318863821,0.331820662,0.344702412,0.357511174,0.370248956,0.382917725,0.395519444,0.408056111,0.42052977,0.432942525,0.445296531,0.457593977,0.469837062,0.48202796,0.494168776,0.506261502,0.518307962,0.530309756,0.542268202,0.554184277,0.566058557,0.577891157,0.58968168,0.601429163,0.613132037,0.624788085,0.63639442,0.647947462,0.659442937,0.670875877,0.682240642,0.693530948,0.704739911,0.7158601,0.726883603,0.737802104,0.748606972,0.759289349,0.769840263,0.780250731,0.790511876,0.800615055,0.810551973,0.82031482,0.829896393,0.839290223,0.848490692,0.857493146,0.866293992,0.874890775,0.883282239,0.891468358,0.899450339,0.907230595,0.914812686,0.922201231,0.929401794,0.936420749,0.943265128,0.949942467,0.956460639,0.962827708,0.969051779,0.97514088
0.09105523,0.119045397,0.089460646,0.076440245,0.077874827,0.086974781,0.097692664,0.101941665,0.102873096,0.096975736,0.082925819,0.064568838,0.050698587,0.044139174,0.044752976,0.051874794,0.062336717,0.074575398,0.088020713,0.102375404,0.11738852,0.132838768,0.148550871,0.164398235,0.180293687,0.196177655,0.212009267,0.227760952,0.237791636,0.243415155,0.258961943,0.27439699,0.289719829,0.304932437,0.320038146,0.335040882,0.349944682,0.364753406,0.379470608,0.394099511,0.408643027,0.423103824,0.437484395,0.451787127,0.466014358,0.480168424,0.494251688,0.508266552,0.522215456,0.536100863,0.549925232,0.563690984,0.577400451,0.59105583,0.604659117,0.618212053,0.631716049,0.645172127,0.658580848,0.671942246,0.68525577,0.698520222,0.711733711,0.72489361,0.737996523,0.751038267,0.764013863,0.776917546,0.789742781,0.802482299,0.815128146,0.827671747,0.840103977,0.852415254,0.864595632,0.876634912,0.888522763,0.900248839,0.911802921,0.923175049,0.934355662,0.94533575,0.956106992,0.966661899,0.976993955,0.987097736,0.996969029,1.006604918,1.016003857,1.025165706,1.034091736,1.042784604,1.051248289,1.05948799,1.067510004,1.07532157,1.082930701,1.090346005,1.097576499,1.104631439,1.111520155,1.118251901
0.117878759,0.149798635,0.116488525,0.101825244,0.103404777,0.113596946,0.125593911,0.130364158,0.131542929,0.125166274,0.109730465,0.089575965,0.074576347,0.067870547,0.069241376,0.077819533,0.089988701,0.104019104,0.119312002,0.135560808,0.152498841,0.169886785,0.187534246,0.205303954,0.223101926,0.240864581,0.258548998,0.276126992,0.287312778,0.293581448,0.310903621,0.328090835,0.345144509,0.362068547,0.378868132,0.395548883,0.412116329,0.428575621,0.444931405,0.461187818,0.477348534,0.493416859,0.509395823,0.525288272,0.541096946,0.556824539,0.572473739,0.588047252,0.603547799,0.618978111,0.6343409,0.649638818,0.664874412,0.680050066,0.695167934,0.710229875,0.72523738,0.740191493,0.755092741,0.76994106,0.784735725,0.799475285,0.81415751,0.828779344,0.843336865,0.857825272,0.872238866,0.886571069,0.900814435,0.914960698,0.929000823,0.942925075,0.956723108,0.970384057,0.983896654,0.997249346,1.01043043,1.023428191,1.036231049,1.048827716,1.061207353,1.073359731,1.085275393,1.096945813,1.108363551,1.119522391,1.130417472,1.14104539,1.151404277,1.161493848,1.17131541,1.180871833,1.190167484,1.19920812,1.208000744,1.216553444,1.224875199,1.23297568,1.240865046,1.24855375,1.256052349,1.263371345
