Values,Values_14_11_25,Values_14_19_56,Values_14_28_26,Values_14_38_27,Values_14_48_52,Values_14_57_44,Values_15_06_05,Values_15_14_26,Values_15_22_48,Values_15_31_10,Values_15_39_32,Values_15_47_56,Values_15_56_18,Values_16_04_40,Values_16_13_01,Values_16_21_22,Values_16_29_43,Values_16_38_03,Values_16_46_25,Values_16_54_49,Values_17_03_11,Values_17_11_32,Values_17_19_54,Values_17_28_15,Values_17_36_36,Values_17_45_00,Values_17_53_21,Values_18_01_41,Values_18_10_03,Values_18_18_24,Values_18_26_45,Values_18_35_07,Values_18_43_28,Values_18_51_50,Values_19_00_12,Values_19_08_32,Values_19_16_54,Values_19_25_15,Values_19_33_36,Values_19_41_57,Values_19_50_19,Values_19_58_39,Values_20_07_00,Values_20_15_21,Values_20_23_41,Values_20_32_02,Values_20_40_22,Values_20_48_43,Values_20_57_04,Values_21_05_25,Values_21_13_49,Values_21_22_10,Values_21_30_32,Values_21_38_55,Values_21_47_17,Values_21_55_37,Values_22_03_57,Values_22_12_18,Values_22_20_39,Values_22_29_01,Values_22_37_22,Values_22_46_17,Values_22_54_51,Values_22_58_05
0.1140339005400938,0.1140339005400938,0.1140339005400938,0.1140339005400938,0.1140339005400938,0.1140339005400938,0.1140339005400938,0.1140339005400938,0.1140339005400938,0.1140339005400938,0.1140339005400938,0.1140339005400938,0.1140339005400938,0.1140339005400938,0.1140339005400938,0.1140339005400938,0.1140339005400938,0.1140339005400938,0.1140339005400938,0.1140339005400938,0.1140339005400938,0.1140339005400938,0.1140339005400938,0.1140339005400938,0.1140339005400938,0.1140339005400938,0.1140339005400938,0.1140339005400938,0.1140339005400938,0.1140339005400938,0.1140339005400938,0.1140339005400938,0.1140339005400938,0.1140339005400938,0.1140339005400938,0.1140339005400938,0.1140339005400938,0.1140339005400938,0.1140339005400938,0.1140339005400938,0.1140339005400938,0.1140339005400938,0.1140339005400938,0.1140339005400938,0.1140339005400938,0.1140339005400938,0.1140339005400938,0.1140339005400938,0.1140339005400938,0.1140339005400938,0.1140339005400938,0.1140339005400938,0.1140339005400938,0.1140339005400938,0.1140339005400938,0.1140339005400938,0.1140339005400938,0.1140339005400938,0.1140339005400938,0.1140339005400938,0.1140339005400938,0.1140339005400938,0.1140339005400938,0.1140339005400938,0.11403390054009388
-0.0016429852721668,-0.0039419975991024,-0.0059916476092456,-0.0076591067966847,-0.0085370957717213,-0.0089165656626399,-0.0091773917724177,-0.0094673829396686,-0.0098149819342619,-0.0102175824893581,-0.0106658491572683,-0.0111493834169372,-0.0116585021040059,-0.0121848967083278,-0.0127217872494811,-0.0132638305190321,-0.0138069248288406,-0.0143479872686266,-0.0148847412408029,-0.0154155307637001,-0.0159391665325149,-0.0164548028069877,-0.0169618414703003,-0.0174598586898151,-0.0179485496673396,-0.0184276874950651,-0.0188970928353012,-0.0193566118578875,-0.0198061005131287,-0.0202454137552802,-0.0206743987523622,-0.0210928914216039,-0.0215007158283275,-0.0218976860902429,-0.0222836104544876,-0.0226582971839693,-0.0230215618226453,-0.0233732353342964,-0.023713172549839,-0.024041260336221,-0.0243574249247559,-0.024661637916031,-0.0249539206012617,-0.0252343463883749,-0.0255030412826595,-0.0257601825179386,-0.026005995556611,-0.0262407497599711,-0.026464753075721,-0.0266783460981101,-0.0268818958339172,-0.0270757894659407,-0.0272604283509396,-0.0274362224311854,-0.0276035851814264,-0.0277629291640511,-0.0279146622215358,-0.0280591843029397,-0.0281968848960506,-0.028328141020106,-0.0284533157241464,-0.0285727570302718,-0.0286867972607311,-0.0287957526893695,-0.028835885469128204
-0.0432699806576748,-0.0478469921883053,-0.0519245126301112,-0.055240097129141,-0.0569800163511196,-0.057725961453612,-0.058236010255431,-0.0588049811842813,-0.0594895684622628,-0.060284494313214,-0.061171035322031,-0.0621283568139768,-0.0631370753088976,-0.0641805735647923,-0.0652453017681222,-0.0663205884480926,-0.0673982463616107,-0.068472125041143,-0.0695376849733069,-0.0705916259219006,-0.0716315790654595,-0.0726558609038336,-0.073663281524581,-0.074652998042091,-0.0756244041660338,-0.0765770479283931,-0.0775105710107871,-0.0784246645498575,-0.0793190375890095,-0.0801933954206623,-0.0810474259056468,-0.0818807924637134,-0.0826931328256803,-0.0834840628445097,-0.0842531847105521,-0.0850000988506525,-0.0857244186518913,-0.0864257869951051,-0.087103893458719,-0.0877584910046152,-0.0883894110049539,-0.0889965756248425,-0.0895800068213781,-0.0901398315237484,-0.0906762828741945,-0.0911896977196715,-0.0916805107842322,-0.0921492461251102,-0.0925965065695633,-0.0930229618489205,-0.0934293361033106,-0.0938163953481118,-0.0941849353837841,-0.0945357705146919,-0.0948697233260357,-0.0951876156748428,-0.0954902609486967,-0.0957784575973522,-0.0960529838803286,-0.0963145937421179,-0.0965640137066343,-0.0968019406702445,-0.0970290404715405,-0.097245947118929,-0.09732582524415148
-0.0762499120634351,-0.0830789528600067,-0.089157200181865,-0.0940968208404316,-0.0966797476024759,-0.0977776430264133,-0.0985241429179076,-0.0993598557853575,-0.1003694327004411,-0.101544848041119,-0.1028579539260331,-0.1042774674599162,-0.1057743154009866,-0.1073235976292895,-0.1089050274130242,-0.1105026389626339,-0.11210419101541,-0.1137004931668013,-0.1152847663504735,-0.1168520854324496,-0.1183989179129391,-0.1199227553768267,-0.1214218264315613,-0.1228948772879156,-0.1243410064011318,-0.1257595412227468,-0.1271499472435037,-0.1285117616669301,-0.1298445459909708,-0.1311478533896647,-0.132421208050803,-0.1336640945361714,-0.1348759558246977,-0.1360561990065357,-0.1372042076640361,-0.1383193598714894,-0.1394010505298944,-0.140448716511467,-0.1414618628934086,-0.1424400884799462,-0.1433831088774518,-0.1442907756179786,-0.1451630901954465,-0.146000212335618,-0.1468024623027454,-0.1475703175103176,-0.148304404074103,-0.1490054842094428,-0.1496744405209294,-0.1503122582655485,-0.1509200066084824,-0.1514988197685058,-0.1520498787862852,-0.1525743944744574,-0.1530735919331891,-0.1535486968715331,-0.1540009238260814,-0.1544314662869811,-0.1548414886516944,-0.1552321198774252,-0.155604448671926,-0.155959520043289,-0.156298333026843,-0.1566218394111516,-0.15674094804609107
-0.1066747861689716,-0.1157316820261687,-0.1237847736831059,-0.1303252487175721,-0.1337325605142555,-0.1351678386915234,-0.1361379261167545,-0.137228112507543,-0.1385507258032727,-0.1400949046515669,-0.1418230242640295,-0.1436933265618597,-0.1456670466160484,-0.1477110174209439,-0.1497982407784701,-0.1519074850908868,-0.1540224828121723,-0.1561310286904893,-0.158224125896039,-0.1602952428858065,-0.1623396989611981,-0.1643541736389539,-0.166336324614523,-0.1682844957675325,-0.1701974970723762,-0.1720744404871627,-0.1739146187505916,-0.1757174169025163,-0.1774822489307976,-0.1792085141011097,-0.180895569212127,-0.182542714232464,-0.1841491895660387,-0.1857141835997797,-0.1872368492730389,-0.1887163282618465,-0.1901517810741668,-0.1915424210195122,-0.1928875497450306,-0.1941865919130097,-0.1954391266753477,-0.1966449139033787,-0.1978039136231871,-0.1989162977174705,-0.1999824536060447,-0.2010029802397242,-0.201978677247581,-0.202910528436006,-0.2037996810396184,-0.2046474221731132,-0.2054551538549714,-0.2062243678109293,-0.2069566210503337,-0.2076535129740655,-0.2083166645384497,-0.2089476998056031,-0.2095482300144647,-0.2101198401914817,-0.2106640782018514,-0.2111824460739945,-0.2116763933868563,-0.2121473124831623,-0.212596535267474,-0.2130253313523697,-0.2131831710017592
-0.1329058778220714,-0.1441701261715698,-0.1541751868602613,-0.1622956992216002,-0.1665098157828768,-0.1682681462215841,-0.169449039970109,-0.1707816161263606,-0.1724056452575957,-0.1743073288697605,-0.1764394863096498,-0.178749829973895,-0.1811898769312191,-0.1837181890878157,-0.1863010662909729,-0.1889120275116559,-0.1915307977020623,-0.194142175435097,-0.1967349634478004,-0.1993010392900784,-0.2018345876395366,-0.2043314876662601,-0.2067888361458658,-0.2092045830016891,-0.2115772565559648,-0.2139057585769785,-0.2161892128025152,-0.2184268542391533,-0.2206179497763254,-0.2227617433497473,-0.2248574209978075,-0.2269040926724838,-0.2289007886531927,-0.2308464689177092,-0.23274004392498,-0.2345804050727064,-0.2363664627095921,-0.238097189152698,-0.2397716638075282,-0.2413891173296951,-0.2429489718572422,-0.2444508747240251,-0.2458947236591414,-0.2472806822667879,-0.2486091853920764,-0.2498809347628157,-0.2510968859436687,-0.2522582280953434,-0.2533663582919266,-0.2544228522173666,-0.2554294329688809,-0.2563879394940752,-0.2573002959206533,-0.2581684827445061,-0.2589945105480364,-0.259780396674674,-0.2605281450419687,-0.2612397291247595,-0.2619170779931667,-0.2625620652022871,-0.2631765002748368,-0.2637621224835873,-0.2643205966339088,-0.2648535105514372,-0.2650496325160211
-0.1551139582277542,-0.1685693017295306,-0.1805069792134619,-0.1901894976268394,-0.1951940428163273,-0.1972613342254777,-0.1986403045113468,-0.2002033579785102,-0.2021175301549978,-0.2043659695826683,-0.2068918301863168,-0.2096322084190467,-0.2125288483030908,-0.215532012615796,-0.2186012899157648,-0.2217049517416126,-0.2248187236746297,-0.2279244191063359,-0.2310086522868577,-0.2340617217017883,-0.2370766885887617,-0.2400486420142482,-0.2429741269905167,-0.245850707464968,-0.2486766368344884,-0.251450612063433,-0.2541715918276759,-0.2568386634678777,-0.2594509474325618,-0.262007531132713,-0.264507426664509,-0.2669495486804552,-0.2693327098731621,-0.2716556321395175,-0.2739169716068302,-0.2761153554613124,-0.278249428045548,-0.280317903159995,-0.2823196190635641,-0.2842535924629472,-0.2861190678777512,-0.2879155592187574,-0.2896428811321206,-0.2913011686104642,-0.292890884357623,-0.2944128143438422,-0.2958680527777109,-0.297257978279932,-0.2985842233667736,-0.2998486394404429,-0.3010532593771626,-0.3022002595657442,-0.3032919229287309,-0.3043306041062239,-0.3053186976283409,-0.3062586096036046,-0.3071527331587309,-0.3080034276778847,-0.3088130017131718,-0.3095836993298395,-0.3103176895807901,-0.3110170587621277,-0.3116838050921819,-0.3123198354610308,-0.31255385362199606
-0.1729213742892754,-0.188556185666514,-0.2024109925305614,-0.2136405469083444,-0.2194204230867816,-0.2217827759970293,-0.2233470731344255,-0.225128806189663,-0.2273221631037628,-0.2299071086779661,-0.232816988094757,-0.2359781596949116,-0.2393225073253531,-0.2427919399803726,-0.2463393045675924,-0.2499276111460234,-0.2535285821540382,-0.2571210481895861,-0.2606894408968708,-0.2642224873834074,-0.2677121338763606,-0.2711526878355453,-0.2745401506287714,-0.2778717076543402,-0.2811453438751096,-0.2843595567981059,-0.2875131440443683,-0.2906050477670718,-0.2936342427393191,-0.2965996587252029,-0.2995001307126397,-0.3023343727184691,-0.3051009722586767,-0.3077984032775631,-0.3104250554546801,-0.3129792775142943,-0.3154594315927967,-0.3178639550800674,-0.3201914258178138,-0.3224406262809143,-0.3246106024686079,-0.3267007137541685,-0.328710670753794,-0.3306405594406978,-0.3324908508277623,-0.3342623967024354,-0.3359564128253834,-0.3375744516683512,-0.3391183671561628,-0.3405902739914114,-0.3419925040222678,-0.3433275618401513,-0.3445980814203092,-0.3458067852072826,-0.3469564466322575,-0.3480498566969257,-0.3490897949174486,-0.3500790046972031,-0.3510201729902528,-0.3519159139879532,-0.352768756478302,-0.3535811344756852,-0.3543553807061924,-0.3550937225377433,-0.3553653227617511
-0.1860495541065396,-0.2038573091424327,-0.2196180332225649,-0.2323830407582998,-0.2389245142949091,-0.241568161445244,-0.2433049277948347,-0.2452935871663838,-0.2477554426141796,-0.2506671287152702,-0.2539520009553661,-0.2575255171889622,-0.2613095778216733,-0.2652376534599416,-0.2692557953595647,-0.2733217200248813,-0.2774031296020159,-0.2814758645967766,-0.2855221730815456,-0.2895292137554732,-0.2934878231070003,-0.2973915334587799,-0.3012358094080549,-0.3050174645196908,-0.3087342214494488,-0.3123843834379595,-0.3159665910102361,-0.3194796435955764,-0.3229223710223672,-0.3262935441933084,-0.3295918176471299,-0.3328156991570002,-0.3359635430985484,-0.3390335651189139,-0.3420238757725181,-0.3449325304386642,-0.3477575921659724,-0.3504972033354769,-0.3531496614022185,-0.3557134936613987,-0.358187526085901,-0.3605709418685789,-0.3628633262380928,-0.3650646954438754,-0.3671755090860653,-0.369196666301233,-0.3711294873948637,-0.3729756832868442,-0.37473731559522,-0.3764167503240576,-0.3780166079931669,-0.3795397127388739,-0.3809890424884068,-0.3823676818398183,-0.3836787788027466,-0.3849255061481984,-0.3861110277242184,-0.3872384698308472,-0.3883108975096116,-0.3893312954511819,-0.3903025531273629,-0.3912274536919717,-0.3921086661789808,-0.3929487405295138,-0.3932576914165343
-0.1941838118756941,-0.2141635327883728,-0.2318236109483215,-0.2461161661936309,-0.2534069169294037,-0.2563181296788901,-0.258214278937432,-0.2603980535987697,-0.2631179198713118,-0.2663470191611614,-0.2699984947355984,-0.2739766968757716,-0.2781933790830136,-0.2825734557186861,-0.2870561021973165,-0.2915936894534848,-0.2961498674084299,-0.3006974684730554,-0.3052165486083699,-0.3096926958455973,-0.3141156387028508,-0.3184781385451223,-0.3227751286486246,-0.327003056615419,-0.3311593884468423,-0.3352422380502385,-0.3392500926579622,-0.3431816113020387,-0.3470354794170946,-0.3508103075639733,-0.354504566110067,-0.3581165504636666,-0.3616443732454929,-0.3650859806770195,-0.3684391906069583,-0.3717017491862388,-0.374871402425496,-0.3779459779957412,-0.380923471895549,-0.3838021342321864,-0.3865805484611413,-0.3892576990785448,-0.391833023820664,-0.39430644791601,-0.3966783994033367,-0.3989498060437687,-0.4011220755931315,-0.4031970620919956,-0.4051770213634225,-0.4070645590786864,-0.4088625746148837,-0.410574203585571,-0.4122027614459152,-0.4137516900429639,-0.4152245084423863,-0.4166247688999805,-0.4179560184034307,-0.4192217659066133,-0.4204254551081443,-0.4215704424512331,-0.4226599799090376,-0.4236972020478171,-0.4246851168398129,-0.4256265996997717,-0.4259727630177423
