Values,Values_03_00_37,Values_03_06_59,Values_03_10_06,Values_03_11_23,Values_03_16_15,Values_03_25_30,Values_03_34_46,Values_03_44_00,Values_03_53_13,Values_04_02_36,Values_04_11_53,Values_04_21_15,Values_04_31_45,Values_04_42_32,Values_04_53_19,Values_05_04_03,Values_05_14_53,Values_05_25_28,Values_05_36_11,Values_05_46_18,Values_05_56_19,Values_06_06_15,Values_06_15_49,Values_06_25_38,Values_06_35_27,Values_06_45_26,Values_06_55_29,Values_07_05_30,Values_07_15_29,Values_07_26_22,Values_07_36_31,Values_07_46_35,Values_07_56_39,Values_08_06_43,Values_08_16_48,Values_08_26_53,Values_08_36_57,Values_08_46_59,Values_08_56_53,Values_09_06_14,Values_09_15_35,Values_09_24_55,Values_09_34_15,Values_09_43_35,Values_09_52_56,Values_10_02_17,Values_10_11_45,Values_10_21_08,Values_10_30_30,Values_10_39_58,Values_10_48_57,Values_10_57_44,Values_11_06_29,Values_11_15_15,Values_11_23_59,Values_11_32_44,Values_11_41_28,Values_11_50_12,Values_11_58_56,Values_12_07_39,Values_12_16_24,Values_12_25_08,Values_12_33_54,Values_12_42_37,Values_12_51_20,Values_12_59_44,Values_13_08_07,Values_13_16_30,Values_13_24_53,Values_13_33_14,Values_13_41_36,Values_13_46_27
0.4894231152635012,0.4894231152635012,0.7690100821469261,0.4894231152635012,0.4894231152635012,0.7690100821469261,0.7690100821469261,0.7690100821469261,0.7690100821469261,0.7690100821469261,0.7690100821469261,0.7690100821469261,0.7690100821469261,0.7690100821469261,0.7690100821469261,0.7690100821469261,0.7690100821469261,0.7690100821469261,0.7690100821469261,0.7690100821469261,0.7690100821469261,0.7690100821469261,0.7690100821469261,0.7690100821469261,0.7690100821469261,0.7690100821469261,0.7690100821469261,0.7690100821469261,0.7690100821469261,0.7690100821469261,0.7690100821469261,0.7690100821469261,0.7690100821469261,0.7690100821469261,0.7690100821469261,0.7690100821469261,0.7690100821469261,0.7690100821469261,0.7690100821469261,0.7690100821469261,0.7690100821469261,0.7690100821469261,0.7690100821469261,0.7690100821469261,0.7690100821469261,0.7690100821469261,0.7690100821469261,0.7690100821469261,0.7690100821469261,0.7690100821469261,0.7690100821469261,0.7690100821469261,0.7690100821469261,0.7690100821469261,0.7690100821469261,0.7690100821469261,0.7690100821469261,0.7690100821469261,0.7690100821469261,0.7690100821469261,0.7690100821469261,0.7690100821469261,0.7690100821469261,0.7690100821469261,0.7690100821469261,0.7690100821469261,0.7690100821469261,0.7690100821469261,0.7690100821469261,0.7690100821469261,0.7690100821469261,0.7690100821469261,0.7690100821469261
0.0604890180355945,0.0619682875559027,0.083063196496231,0.0615388319985084,0.0614730324425478,0.0826540175062489,0.0815867690007364,0.0803816328169535,0.0792099974790413,0.0781057884379719,0.07706879064389,0.076093110553897,0.0751730328160859,0.0743037013811509,0.073480920991085,0.0727009376992916,0.0719603034102259,0.0712558027751739,0.0705844163206052,0.069943303636446,0.0693297974323664,0.0687414030302177,0.0681757999158686,0.0676308432373164,0.0671045640037305,0.0665951673575464,0.0661010287219593,0.0656206879077606,0.065152841433223,0.0646963333967382,0.06425014527247,0.0638133849906875,0.0633852756378292,0.0629651440708838,0.0625524096963426,0.0621465736197942,0.0617472083290297,0.0613539480334055,0.0609664797458046,0.0605845351619199,0.0602078833629205,0.0598363243435546,0.0594696833474222,0.059107805975899,0.0587505540232978,0.0583978019831452,0.0580494341642168,0.0577053423512332,0.0573654239452632,0.057029580519414,0.0566977167290704,0.0563697395187074,0.0560455575731975,0.0557250809661582,0.0554082209637925,0.0550948899471391,0.0547850014230022,0.0544784700964912,0.0541752119841752,0.0538751445507471,0.0535781868553094,0.0532842596968221,0.0529932857517185,0.0527051896974324,0.0524198983188341,0.0521373405954294,0.0518574477684135,0.0515801533876994,0.0513053933399549,0.0510331058583671,0.0507632315162097,0.050495713205616,0.050341610422812134
-0.0022650925777804,0.0009223615402747,-0.0315798858244759,1.8876595375042724e-06,-0.0001392863736669,-0.0324123959356593,-0.0345935480496796,-0.0370549808245652,-0.039446987193944,-0.0417010737951149,-0.0438180998486173,-0.0458102579885517,-0.0476892470475405,-0.0494649544271823,-0.0511458967417198,-0.0527396843518203,-0.0542533054183276,-0.055693278451834,-0.0570657288685093,-0.0583764235670446,-0.0596307827685637,-0.0608338804577624,-0.0619904404652301,-0.0631048325992205,-0.0641810714323058,-0.0652228190662353,-0.0662333923038749,-0.0672157740703328,-0.0681726285700851,-0.0691063194853847,-0.0700189304548866,-0.070912287086866,-0.0717879798142685,-0.0726473869813769,-0.0734916976424354,-0.074321933643265,-0.0751389706458294,-0.0759435578384361,-0.0767363361493987,-0.0775178548473545,-0.0782885864707538,-0.0790489400787681,-0.0797992728580414,-0.0805399001513877,-0.0812711040034887,-0.0819931403347857,-0.082706244867888,-0.0834106379387923,-0.0841065283251112,-0.0847941162227236,-0.0854735954947869,-0.0861451553116319,-0.0868089812880478,-0.0874652562150982,-0.0881141604716031,-0.0887558721912984,-0.0893905672466855,-0.0900184191051531,-0.0906395986005331,-0.0912542736552688,-0.0918626089818183,-0.0924647657848723,-0.0930609014788453,-0.0936511694336078,-0.0942357187547301,-0.0948146941027445,-0.0953882355533993,-0.0959564784987127,-0.096519553586823,-0.0970775866992044,-0.0976306989610552,-0.0981790067820282,-0.09849486815274054
-0.0124605483300419,-0.0075128217149413,-0.0654030324064026,-0.0089353040914919,-0.009153684845064,-0.0666473531064871,-0.0699160906798975,-0.0736018621348245,-0.0771818207251752,-0.0805547491736966,-0.0837226555845011,-0.0867040831346745,-0.0895166176963975,-0.0921750354310225,-0.0946920212374566,-0.0970788918276974,-0.0993460337713765,-0.1015031376549339,-0.103559315075849,-0.1055231510627992,-0.1074027215271489,-0.1092055931366564,-0.1109388163936477,-0.1126089186723606,-0.11422190121907,-0.1157832421637607,-0.1172979062269921,-0.1187703609080822,-0.1202045983950027,-0.1216041621551797,-0.1229721770600517,-0.124311381920354,-0.1256241633761628,-0.1269125902198659,-0.1281784473604747,-0.1294232687741346,-0.1306483689208696,-0.1318548722323221,-0.1330437403889238,-0.134215797203965,-0.1353717510220221,-0.1365122146147173,-0.1376377226209358,-0.1387487466268845,-0.1398457080255717,-0.1409289888200715,-0.1419989405552172,-0.1430558915747918,-0.1441001528014884,-0.1451320222361575,-0.1461517883618114,-0.1471597326300295,-0.1481561311895096,-0.1491412560025892,-0.1501153754776693,-0.1510787547318285,-0.1520316555754513,-0.1529743363025849,-0.1539070513521085,-0.154830050892804,-0.1557435803755845,-0.1566478800855485,-0.1575431847158037,-0.1584297229827672,-0.1593077172925602,-0.1601773834654427,-0.1610389305214206,-0.1618925605268535,-0.162738468499188,-0.1635768423677695,-0.1644078629844998,-0.1652317041801715,-0.16570630851508428
-0.0214685794163974,-0.0147345067100117,-0.0978455559099976,-0.0166627098489348,-0.016959010742206,-0.0994864342417615,-0.1038060484466529,-0.1086723691011735,-0.1133962850720974,-0.1178460492556583,-0.1220253364939125,-0.1259590448847241,-0.1296705021579043,-0.1331791882397497,-0.1365017660710822,-0.1396530750132351,-0.1426467271886828,-0.1454954248252218,-0.148211118157651,-0.1508050756560799,-0.1532879067857034,-0.1556695608401595,-0.1579593164215738,-0.1601657707001519,-0.1622968338815061,-0.1643597316799769,-0.1663610167580353,-0.1683065888807545,-0.1702017227948914,-0.1720511024580063,-0.1738588600944134,-0.1756286185805283,-0.1773635357507612,-0.1790663493883933,-0.1807394218394565,-0.1823847833687114,-0.1840041735562276,-0.1855990801993783,-0.1871707753366988,-0.1887203481423502,-0.1902487345603116,-0.1917567436485233,-0.1932450806892542,-0.1947143671867842,-0.1961651579329888,-0.1975979553549668,-0.1990132213864696,-0.2004113871219571,-0.2017928605128443,-0.2031580323650763,-0.2045072808827763,-0.205840974992768,-0.2071594766612636,-0.2084631423957735,-0.2097523241017691,-0.2110273694456599,-0.2122886218459614,-0.2135364202038497,-0.2147710984596726,-0.2159929850460725,-0.2172024022953804,-0.2183996658449022,-0.2195850840694727,-0.220758957567689,-0.2219215787148379,-0.223073231291956,-0.224214190195393,-0.2253447212268226,-0.2264650809599895,-0.2275755166819536,-0.2286762664000514,-0.2297675589097099,-0.23039626221841414
-0.0278901546623618,-0.0193426856842906,-0.1274979126359439,-0.0217806729135282,-0.0221556594341663,-0.1295199868662747,-0.134853747239487,-0.1408567479206709,-0.1466804807074159,-0.1521648807401162,-0.1573158220504918,-0.1621645711927562,-0.1667400583307482,-0.1710662861001439,-0.1751637082047904,-0.179050505342897,-0.1827433443342065,-0.1862577803136702,-0.1896084560581421,-0.192809190019361,-0.1958730041132144,-0.1988121210611085,-0.2016379496974316,-0.204361069786387,-0.2069912232274803,-0.2095373152214441,-0.2120074266547491,-0.214408837433313,-0.2167480595596503,-0.2190308782574165,-0.2212623992533951,-0.2234471003514922,-0.2255888855416166,-0.2276911400963561,-0.2297567853240331,-0.2317883318712545,-0.2337879306906245,-0.2357574209967245,-0.2376983747222533,-0.2396121371510328,-0.2414998635561102,-0.2433625517966308,-0.2452010709355142,-0.2470161860212186,-0.2488085792517299,-0.2505788677813517,-0.2523276184660151,-0.2540553598647007,-0.2557625918160894,-0.2574497929097328,-0.2591174261535355,-0.2607659431275564,-0.2623957868852896,-0.2640073938412554,-0.2656011948548648,-0.2671776156983644,-0.2687370770600498,-0.270279994220768,-0.2718067765113194,-0.2733178266386434,-0.2748135399526123,-0.2762943037078632,-0.2777604963574247,-0.2792124869112155,-0.280650634375866,-0.2820752872878509,-0.2834867833456184,-0.2848854491408668,-0.2862715999845873,-0.2876455398252218,-0.2890075612483161,-0.2903579455516512,-0.2911359432280295
-0.0314058987637078,-0.0210156729938683,-0.1539667330903177,-0.0239682392502775,-0.024422787985047,-0.1563544624493605,-0.1626658300732058,-0.1697618259566922,-0.176641338166593,-0.1831182042039607,-0.189201046216801,-0.1949275249936772,-0.2003320419930657,-0.2054429474102827,-0.2102843029990581,-0.2148774532457539,-0.2192419520355068,-0.2233960514903905,-0.2273569433094224,-0.2311408646465523,-0.2347631306816552,-0.2382381300429407,-0.2415793053886106,-0.2447991331354191,-0.2479091106914866,-0.2509197555632193,-0.2538406179142248,-0.2566803063072295,-0.2594465252234099,-0.2621461223538531,-0.2647851434156283,-0.2673688922655602,-0.2699019942105711,-0.2723884606584058,-0.2748317535087778,-0.2772348479518536,-0.2796002926057469,-0.2819302661723746,-0.284226630016605,-0.2864909762709242,-0.2887246712491686,-0.2909288941035324,-0.2931046707891405,-0.295252903498235,-0.2973743958162783,-0.2994698739037146,-0.3015400040499774,-0.3035854069731824,-0.3056066692414856,-0.3076043521931333,-0.3095789987118723,-0.3115311382009927,-0.3134612900647434,-0.3153699659829292,-0.3172576712246739,-0.3191249052243182,-0.3209721616025529,-0.3227999277943625,-0.3246086844126349,-0.3263989044522142,-0.3281710524201503,-0.3299255834572449,-0.3316629424949737,-0.3333835634874841,-0.3350878687386036,-0.3367762683384398,-0.3384491597166514,-0.3401069273128297,-0.3417499423590492,-0.3433785627716104,-0.3449931331396161,-0.3465939848033063,-0.3475163187990897
-0.0317534630343781,-0.0194877687255754,-0.1770442845105796,-0.022960706734663,-0.0234958477478301,-0.1797818093483406,-0.187034450529995,-0.1951799770253912,-0.2030713608715969,-0.2104985675745438,-0.2174735350886823,-0.224040358561834,-0.2302387893228068,-0.236101356849315,-0.2416555534975958,-0.2469257143081664,-0.2519341162869915,-0.2567015558461866,-0.2612476328341027,-0.2655908743519755,-0.269748771894885,-0.2737377744551557,-0.2775732638471169,-0.2812695287210029,-0.2848397471301566,-0.2882959828443168,-0.2916491973286818,-0.2949092771390045,-0.2980850751427463,-0.3011844632639059,-0.3042143941555224,-0.3071809692178838,-0.3100895105214705,-0.3129446344717081,-0.3157503253478748,-0.3185100071566259,-0.3212266125462911,-0.3239026478169197,-0.3265402533199424,-0.3291412587727738,-0.3317072332251665,-0.3342395295879008,-0.3367393237872368,-0.339207648722603,-0.3416454233106707,-0.3440534769595328,-0.3464325698674261,-0.3487834095724343,-0.3511066641833901,-0.3534029727243862,-0.355672953002298,-0.3579172073920017,-0.3601363268946428,-0.3623308937977405,-0.3645014832212127,-0.3666486638065909,-0.3687729977603571,-0.370875040438536,-0.372955339621562,-0.3750144346007609,-0.3770528551758909,-0.3790711206393797,-0.3810697387985958,-0.3830492050824444,-0.3850100017557373,-0.3869525972585653,-0.3888774456792132,-0.3907849863614362,-0.3926756436406873,-0.3945498267060933,-0.3964079295741709,-0.3982503311662428,-0.3993118738077381
-0.0286725661038713,-0.0144947549505517,-0.1965475599050504,-0.0184949677865331,-0.0191119040048357,-0.1996184846940311,-0.2077760549102863,-0.2169276426129632,-0.2257868928275691,-0.2341221352182563,-0.2419492122297755,-0.2493187086523414,-0.256275614151521,-0.2628564759764848,-0.2690920446745303,-0.2750094766353513,-0.2806336114221248,-0.2859876399538733,-0.2910934320011033,-0.2959716780943082,-0.3006419310628865,-0.3051225964485115,-0.3094309020647183,-0.3135828656891106,-0.3175932722891245,-0.3214756668230309,-0.3252423648998968,-0.3289044810865997,-0.3324719731053327,-0.3359536993312101,-0.3393574866562982,-0.3426902057889858,-0.3459578512120107,-0.3491656233317505,-0.3523180106842632,-0.3554188704117816,-0.3584715055693974,-0.3614787381494079,-0.3644429770054028,-0.3673662801213415,-0.3702504109116472,-0.3730968884369639,-0.3759070315946517,-0.378681997473611,-0.3814228141842009,-0.3841304085438259,-0.3868056290575233,-0.3894492646702063,-0.392062059772453,-0.3946447259453335,-0.3971979509043341,-0.3997224050866332,-0.4022187462821449,-0.404687622678715,-0.4071296746425584,-0.409545535524538,-0.411935831730354,-0.4143011822667065,-0.4166421979321988,-0.4189594802905502,-0.421253620539035,-0.4235251983581747,-0.4257747808012322,-0.4280029212763407,-0.4302101586482749,-0.4323970164797794,-0.4345640024225364,-0.43671160775904,-0.4388403070896046,-0.4409505581611665,-0.4430428018223094,-0.4451174620956069,-0.4463128695523018
-0.0218259512935192,-0.005694725791669,-0.2121681633607208,-0.0102303453220906,-0.0109304734958942,-0.2155553515024706,-0.2245812839529051,-0.2346952328287619,-0.2444780164642942,-0.2536785819586661,-0.2623172888671934,-0.2704512831522143,-0.2781306914361221,-0.2853959238953721,-0.2922808216318793,-0.2988151968815479,-0.3050262942321299,-0.3109395518900082,-0.3165789735285065,-0.3219672885067959,-0.3271259976781664,-0.3320753607747352,-0.3368343597161442,-0.3414206593917495,-0.3458505788850092,-0.350139080057503,-0.354299776163719,-0.3583449603424284,-0.3622856520749772,-0.3661316587472245,-0.3698916490510718,-0.3735732349520875,-0.3771830591148776,-0.3807268850166049,-0.3842096873480277,-0.3876357406887058,-0.3910087048284211,-0.39433170547292,-0.3976074094018465,-0.4008380934412902,-0.4040257068831741,-0.4071719272070344,-0.4102782091556756,-0.413345827363172,-0.4163759128704203,-0.4193694839425924,-0.4223274716698397,-0.4252507408753813,-0.4281401068620283,-0.4309963485334699,-0.4338202183989986,-0.4366124499537125,-0.4393737628781253,-0.4421048664678532,-0.4448064616503641,-0.4474792419118104,-0.4501238933984298,-0.4527410944289202,-0.4553315146058823,-0.4578958136798053,-0.4604346402917657,-0.4629486306911164,-0.4654384074938728,-0.4679045785411269,-0.4703477358880946,-0.4727684549464445,-0.475167293791592,-0.4775447926367674,-0.4799014734678065,-0.4822378398352828,-0.4845543767869335,-0.486851550930701,-0.4881752173141857
