Values,Values_13_09_59,Values_13_19_00,Values_13_27_50,Values_13_36_23,Values_13_44_56,Values_13_53_27,Values_14_02_02,Values_14_10_40,Values_14_19_18,Values_14_27_52,Values_14_37_50,Values_14_48_20,Values_14_57_23,Values_15_05_47,Values_15_14_13,Values_15_22_39,Values_15_31_03,Values_15_39_27,Values_15_47_52,Values_15_56_17,Values_16_04_40,Values_16_13_08,Values_16_21_32,Values_16_30_03,Values_16_38_28,Values_16_46_53,Values_16_55_20,Values_17_03_45,Values_17_12_12,Values_17_20_37,Values_17_29_02,Values_17_37_30,Values_17_45_54,Values_17_54_23,Values_18_02_52,Values_18_11_18,Values_18_19_42,Values_18_28_06,Values_18_36_31,Values_18_44_56,Values_18_53_21,Values_19_01_47,Values_19_10_10,Values_19_18_39,Values_19_27_04,Values_19_35_28,Values_19_43_53,Values_19_52_18,Values_20_00_44,Values_20_09_10,Values_20_17_39,Values_20_26_05,Values_20_34_31,Values_20_42_55,Values_20_51_19,Values_20_59_49,Values_21_08_12,Values_21_16_43,Values_21_25_09,Values_21_33_35,Values_21_42_04,Values_21_50_30,Values_21_58_56,Values_22_07_23,Values_22_15_53,Values_22_24_17,Values_22_32_41,Values_22_41_20,Values_22_50_07,Values_22_58_44,Values_23_07_11,Values_23_15_38,Values_23_24_04,Values_23_32_28,Values_23_41_08,Values_23_50_07,Values_23_59_16,Values_00_08_24,Values_00_17_39,Values_00_27_18,Values_00_37_10,Values_00_47_07,Values_00_56_51,Values_01_05_50,Values_01_14_51,Values_01_23_57,Values_01_33_57,Values_01_42_41,Values_01_51_23,Values_02_00_06,Values_02_08_45,Values_02_17_22,Values_02_26_00,Values_02_34_39,Values_02_43_15,Values_02_52_12,Values_03_00_52,Values_03_09_31,Values_03_18_14,Values_03_26_52
0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.0580130846731707,0.05801308467317079
-0.0294135630077959,-0.0258798852888885,-0.0255031004807604,-0.0249559156784799,-0.0240489146202814,-0.0228882459529982,-0.0215981294996095,-0.0202622908408596,-0.0189404104397466,-0.0176856761248041,-0.0165497346035438,-0.0155805828966282,-0.0148180631946955,-0.0142896854260183,-0.0140083778471929,-0.0139726028430222,-0.0141684107611858,-0.0145726702273626,-0.0151567090557803,-0.0158897261602568,-0.0167415330899213,-0.0176844246339459,-0.0186942006444343,-0.0197505072329266,-0.020836717689704,-0.0219395550651692,-0.023048606849716,-0.0241558272202958,-0.0252550785903963,-0.0263417348878266,-0.0274123516968423,-0.0284643993845747,-0.0294960513712063,-0.0305060185765598,-0.0314934213966805,-0.0324576915424049,-0.0333984972636463,-0.034315686662492,-0.0352092448635844,-0.0360792617150094,-0.0369259074411954,-0.0377494142682606,-0.0385500625162454,-0.0393281700200525,-0.0400840840251143,-0.0408181749197552,-0.041530831330378,-0.0422224562290938,-0.0428934637952457,-0.0435442768418788,-0.0441753246683916,-0.0447870412390968,-0.0453798636139184,-0.0459542305789723,-0.0465105814376369,-0.0470493549351946,-0.0475709882959668,-0.048075916358318,-0.0485645707959085,-0.0490373794169618,-0.0494947655348628,-0.0499371474042255,-0.0503649377179815,-0.0507785431614795,-0.0511783640198212,-0.0515647938350929,-0.0519382191101662,-0.0522990190561951,-0.052647565380824,-0.0529842221139236,-0.0533093454685023,-0.0536232837340477,-0.0539263771996166,-0.0542189581044001,-0.0545013506130513,-0.0547738708140994,-0.0550368267389009,-0.0552905183992643,-0.0555352378419549,-0.0557712692181171,-0.0559988888662467,-0.0562183654070057,-0.0564299598482052,-0.0566339256992108,-0.0568305090931352,-0.0570199489157846,-0.0572024769404002,-0.057378317967047,-0.0575476899661275,-0.0577108042249266,-0.0578678654967681,-0.0580190721517152,-0.0581646163286498,-0.0583046840880221,-0.0584394555647762,-0.058569105120958,-0.0586938014978788,-0.0588137079673158,-0.0589289824813806,-0.0590397778209335,-0.059146241742226525
-0.0847259593239726,-0.0777059465147678,-0.0769951622357606,-0.0759468972991143,-0.0741841274119873,-0.0719160058258329,-0.0693877708337122,-0.0667650779168239,-0.064166396723784,-0.06169750450947,-0.0594611391030336,-0.0575527488356085,-0.0560515319300994,-0.0550121558079678,-0.0544603239750916,-0.0543930427877598,-0.0547827255738111,-0.0555836162535023,-0.0567390139264404,-0.0581880339336565,-0.0598710341267729,-0.0617333116763398,-0.0637271166095472,-0.0658123172629105,-0.0679561557352069,-0.0701324942032342,-0.072320850189299,-0.0745054094679882,-0.0766741184558557,-0.0788178998728507,-0.0809300013444229,-0.0830054689068421,-0.0850407296689801,-0.0870332657534008,-0.0889813623427137,-0.0908839146381818,-0.0927402809079906,-0.0945501711769723,-0.0963135631895208,-0.0980306390887786,-0.0997017377300256,-0.1013273187282746,-0.1029079352758742,-0.1044442134903736,-0.1059368366130886,-0.1073865328041689,-0.1087940656032252,-0.110160226367616,-0.1114858281811607,-0.112771700862933,-0.114018686804398,-0.1152276374388234,-0.1163994101988802,-0.1175348658606321,-0.1186348661972506,-0.1197002718903378,-0.1207319406578963,-0.121730725571017,-0.1226974735369265,-0.1236330239324856,-0.1245382073755559,-0.125413844623026,-0.1262607455870549,-0.1270797084619136,-0.1278715189542414,-0.1286369496103383,-0.129376759234114,-0.1300916923902166,-0.1307824789865752,-0.1314498339302121,-0.1320944568517754,-0.1327170318934961,-0.1333182275553505,-0.1338986965950133,-0.1344590759763104,-0.1349999868629358,-0.1355220346524401,-0.136025809046863,-0.1365118841565143,-0.1369808186330537,-0.1374331558292187,-0.1378694239818563,-0.1382901364149623,-0.1386957917613075,-0.1390868741994257,-0.1394638537039484,-0.1398271863074038,-0.1401773143712446,-0.1405146668650639,-0.1408396596518803,-0.1411526957786434,-0.1414541657698825,-0.1417444479241744,-0.1420239086120293,-0.1422929025742371,-0.1425517732196931,-0.1428008529224671,-0.1430404633170591,-0.1432709155911805,-0.1434925107757667,-0.14370554003160213
-0.1368017259539447,-0.12634331914383,-0.1253415597662696,-0.1238384828955756,-0.1212712297280296,-0.1179488333904103,-0.1142343734873024,-0.1103736488622515,-0.1065430307629422,-0.1029002973371658,-0.0995987404741632,-0.0967807380653137,-0.0945643827966742,-0.0930311680098346,-0.0922194336636875,-0.0921248180411511,-0.0927064089670231,-0.0938963251873304,-0.0956104694374695,-0.0977585780088485,-0.1002522767461909,-0.1030105609230082,-0.1059627710848055,-0.1090495660476182,-0.1122225464115228,-0.1154431255051969,-0.1186810908278958,-0.1219131357139558,-0.1251215115739698,-0.1282928648173293,-0.1314172720526243,-0.1344874610873838,-0.1374981940007089,-0.1404457855517051,-0.1433277313342839,-0.1461424230937519,-0.1488889321821042,-0.1515668456590516,-0.1541761426562961,-0.1567171013033812,-0.1591902287021771,-0.1615962081887505,-0.1639358595061328,-0.1662101085828852,-0.1684199644404012,-0.1705665013802558,-0.1726508450802342,-0.1746741615863931,-0.1766376484550116,-0.1785425275001828,-0.1803900387480989,-0.1821814353105909,-0.1839179789669645,-0.1856009363054657,-0.1872315753125394,-0.1888111623365523,-0.1903409593568765,-0.1918222215314465,-0.1932561949872009,-0.1946441148223908,-0.1959872033104405,-0.1972866682873641,-0.198543701710766,-0.1997594783795824,-0.2009351548043278,-0.2020718682187297,-0.2031707357236021,-0.2042328535551111,-0.2052592964691207,-0.2062511172327051,-0.2072093462162611,-0.2081349910785506,-0.2090290365370577,-0.2098924442172514,-0.2107261525730066,-0.2115310768735102,-0.2123081092493188,-0.2130581187922835,-0.213781951704227,-0.2144804314887292,-0.2151543591821528,-0.2158045136190114,-0.2164316517268218,-0.2170365088483981,-0.2176197990868379,-0.2181822156702459,-0.2187244313334393,-0.2192470987133465,-0.2197508507565821,-0.2202363011360864,-0.2207040446755784,-0.2211546577787683,-0.2215886988628657,-0.2220067087943096,-0.2224092113253255,-0.2227967135298495,-0.2231697062384907,-0.2235286644709507,-0.2238740478649554,-0.2242063011012447,-0.22452585432370073
-0.1852058926658,-0.1713539477278072,-0.1701043814282462,-0.1681926581967591,-0.1648716435852938,-0.1605472448756565,-0.1556973438943499,-0.1506461844704906,-0.1456272133437968,-0.1408496812849557,-0.1365169631994598,-0.1328179124197926,-0.1299091157065588,-0.1278986077187496,-0.1268372538788853,-0.1267194197156935,-0.127491167914188,-0.1290629659884572,-0.1313239177259716,-0.1341550456716988,-0.1374399260899071,-0.1410719117701865,-0.1449580424744566,-0.1490203094046399,-0.1531951401966437,-0.1574318948612552,-0.1616909582845791,-0.1659417980236877,-0.1701611847482888,-0.1743316587345967,-0.1784402593368833,-0.1824775002258327,-0.1864365586007824,-0.190312642814287,-0.1941025045030502,-0.1978040653731192,-0.2014161335420002,-0.2049381890170726,-0.2083702220150761,-0.2117126113617468,-0.2149660330976481,-0.21813139172373,-0.2212097683421921,-0.2242023813569394,-0.2271105564860467,-0.2299357036639236,-0.232679299037427,-0.23534287073086,-0.2379279874042527,-0.2404362488940354,-0.2428692784155203,-0.2452287159526874,-0.2475162125607884,-0.2497334253888284,-0.2518820132769781,-0.2539636328336792,-0.2559799349060901,-0.2579325614058431,-0.2598231424455455,-0.261653293748776,-0.263424614318606,-0.2651386843423428,-0.2667970633174441,-0.2684012883849174,-0.2699528728572611,-0.2714533049293922,-0.2729040465609012,-0.2743065325196721,-0.275662169576213,-0.2769723358372182,-0.2782383802099521,-0.279461621987573,-0.2806433505455382,-0.2817848251408189,-0.28288727480385,-0.2839518983172149,-0.2849798642714999,-0.2859723111914772,-0.2869303477259654,-0.2878550528940197,-0.288747476382433,-0.2896086388881785,-0.2904395324994309,-0.2912411211125607,-0.292014340878884,-0.2927601006773221,-0.2934792826093895,-0.2941727425122031,-0.294841310487565,-0.2954857914430441,-0.2961069656434257,-0.2967055892685434,-0.2972823949768937,-0.2978380924723273,-0.2983733690719847,-0.2988888902735726,-0.2993853003215602,-0.2998632227702071,-0.3003232610422093,-0.3007659989823508,-0.3011920014049529
-0.2298206019044552,-0.2126155402014409,-0.2111617282992906,-0.2088875956881684,-0.2048630018651981,-0.1995878749443288,-0.1936520368756456,-0.1874565942008321,-0.1812913264830942,-0.1754165097668623,-0.1700852175156338,-0.165532411625749,-0.1619528505883107,-0.1594808851187913,-0.1581798298052856,-0.1580428814793648,-0.1590033635199879,-0.1609505336637489,-0.1637472501987333,-0.1672464381408271,-0.17130425768074,-0.1757890334833447,-0.1805860741072263,-0.1855992125942827,-0.1907501461788389,-0.1959765568979402,-0.2012297391349123,-0.2064721900060078,-0.2116754055231115,-0.2168179842651238,-0.2218840582191691,-0.2268620285458168,-0.2317435663045855,-0.2365228337707045,-0.2411958842025804,-0.2457602030499247,-0.2502143595455735,-0.254557743441887,-0.2587903667693155,-0.2629127148939392,-0.2669256346882622,-0.2708302505036665,-0.2746279008731346,-0.2783200906106818,-0.2819084543150426,-0.2853947283015571,-0.2887807287574473,-0.2920683344947937,-0.2952594731052219,-0.2983561096457335,-0.3013602372188346,-0.3042738689895533,-0.3070990313045502,-0.3098377576786438,-0.3124920834726755,-0.3150640411471547,-0.3175556559893511,-0.3199689422657031,-0.3223058997468589,-0.3245685105625501,-0.3267587363672921,-0.3288785157907981,-0.3309297621554233,-0.332914361444481,-0.3348341705061245,-0.3366910154790823,-0.3384866904263571,-0.3402229561650263,-0.3419015392793816,-0.3435241313035433,-0.3450923880634617,-0.3466079291663931,-0.3480723376258759,-0.3494871596122202,-0.3508539043162149,-0.3521740439188552,-0.3534490136553907,-0.3546802119653873,-0.3558690007207133,-0.3570167055224744,-0.3581246160607969,-0.3591939865297062,-0.3602260360892762,-0.361221949371947,-0.3621828770253851,-0.3631099362871887,-0.3640042115870796,-0.3648667551713007,-0.3656985877468662,-0.366500699140677,-0.3672740489715027,-0.3680195673299519,-0.3687381554657226,-0.3694306864787983,-0.3700980060123625,-0.370740932945081,-0.3713602600822691,-0.3719567548433499,-0.3725311599441389,-0.3730841940731931,-0.3736165525607344
-0.2704630252171847,-0.2499404232546541,-0.2483267089610855,-0.245736835777969,-0.2410586109969012,-0.2348832868616741,-0.2279099456729084,-0.2206150960617469,-0.2133441975484347,-0.2064081918677832,-0.2001095600057936,-0.1947290990755764,-0.1904995001444479,-0.1875812676132861,-0.1860501255336722,-0.185898215351398,-0.1870463920075249,-0.1893631114905349,-0.1926854950094799,-0.1968389362693827,-0.2016527633656817,-0.2069708418938534,-0.2126572797572042,-0.2185982291902266,-0.2247010741449549,-0.2308921744670118,-0.2371140315020771,-0.2433224165739154,-0.2494837495319574,-0.2555728464876286,-0.261571058543985,-0.2674647739205747,-0.2732442352145662,-0.2789026186184842,-0.2844353247833768,-0.2898394372539623,-0.2951133115616579,-0.3002562650139489,-0.3052683433260504,-0.3101501454670886,-0.3149026923001824,-0.3195273280023373,-0.324025645906287,-0.328399432464192,-0.3326506246202227,-0.3367812770811617,-0.3407935368857792,-0.3446896233579728,-0.3484718120359832,-0.3521424215541707,-0.3557038027294237,-0.3591583293159019,-0.3625083900361608,-0.3657563816146816,-0.3689047026085623,-0.3719557479010275,-0.3749119037407002,-0.3777755432694258,-0.3805490224786784,-0.3832346765469065,-0.3858348165353631,-0.3883517264130012,-0.3907876603905543,-0.3931448405455489,-0.3954254547209034,-0.3976316546815507,-0.3997655545132075,-0.4018292292497782,-0.4038247137147223,-0.4057540015603265,-0.407619044493293,-0.4094217516728561,-0.4111639892674767,-0.4128475801585504,-0.4144743037767307,-0.4160458960625862,-0.4175640495378522,-0.4190304134776102,-0.4204465941739478,-0.4218141552805771,-0.4231346182312984,-0.4244094627232529,-0.4256401272557317,-0.4268280097209988,-0.4279744680381516,-0.429080820824514,-0.4301483480994791,-0.4311782920145707,-0.4321718576070224,-0.4331302135709883,-0.4340544930440627,-0.434945794403362,-0.4358051820703668,-0.436633687320596,-0.4374323090955053,-0.4382020148138265,-0.43894374118233,-0.4396583950004106,-0.4403468539616465,-0.4410099674469511,-0.44164855730934754
-0.3068904588414649,-0.2830805653100435,-0.2813525156166364,-0.2784944145234004,-0.2732126226269825,-0.2661871799102198,-0.258223937261535,-0.2498734727332356,-0.2415363702418564,-0.2335739736367775,-0.2263379821202014,-0.2201548558536913,-0.2152950687455968,-0.211945183713041,-0.2101933334528711,-0.2100307271849593,-0.2113660067397044,-0.2140471997597683,-0.2178861523969666,-0.2226812420584706,-0.2282354983503083,-0.234368851142551,-0.2409246992056529,-0.2477719595569627,-0.2548040951098751,-0.2619364804358375,-0.2691031074082948,-0.2762532562559847,-0.2833484622666311,-0.2903599137374574,-0.2972663045242864,-0.3040521079026552,-0.3107062150391818,-0.3172208760575108,-0.3235908852617203,-0.3298129594590639,-0.3358852667007445,-0.3418070708447981,-0.3475784644350007,-0.3532001684319149,-0.358673382197635,-0.3639996710641154,-0.3691808818779728,-0.3742190792846205,-0.3791164973413513,-0.3838755024317264,-0.3884985645015573,-0.3929882344229979,-0.3973471258757503,-0.4015779005753599,-0.4056832559946352,-0.4096659149669236,-0.4135286167251735,-0.4172741090659386,-0.4209051414057998,-0.4244244585786334,-0.427834795243164,-0.4311388708355342,-0.4343393850004752,-0.4374390134492868,-0.4404404042193129,-0.4433461743026937,-0.4461589066227535,-0.448881147338054,-0.4515154034550585,-0.454064140732288,-0.4565297818583672,-0.4589147048890267,-0.4612212419266973,-0.4634516780246367,-0.4656082503026513,-0.467693147258928,-0.4697085082621853,-0.4716564232111282,-0.4735389323448306,-0.4753580261947842,-0.4771156456629487,-0.4788136822148561,-0.4804539781770576,-0.4820383271269249,-0.4835684743667427,-0.4850461174718186,-0.4864729069020144,-0.4878504466727797,-0.489180295075417,-0.4904639654403064,-0.4917029269373345,-0.4928986054063753,-0.4940523842148231,-0.4951656051354213,-0.4962395692417572,-0.4972755378148595,-0.4982747332600071,-0.4992383400292574,-0.5001675055467218,-0.5010633411333915,-0.5019269229316968,-0.5027592928226052,-0.5035614593402826,-0.5043343985769237,-0.5050790550782343
-0.338838492863492,-0.3117657080764807,-0.3099706270700743,-0.3068931376486617,-0.301058373891561,-0.2932327893749029,-0.2843267044058531,-0.2749635678830011,-0.2655986379433563,-0.2566435021662249,-0.2484989997230156,-0.2415371914011001,-0.2360662805674376,-0.2322988654167595,-0.2303355278431868,-0.2301666784904034,-0.2316889852713116,-0.2347303850424052,-0.2390778631860989,-0.2445032435181748,-0.2507837397224637,-0.2577158234091285,-0.2651226370037823,-0.2728562767813317,-0.2807966528630388,-0.2888484735933828,-0.2969374920599781,-0.3050067231267706,-0.3130130031346754,-0.3209240434585118,-0.3287160022130619,-0.3363715347731141,-0.3438782577886323,-0.35122755579338,-0.3584136638678891,-0.3654329683760493,-0.3722834774036896,-0.3789644217469655,-0.3854759553648292,-0.3918189310577012,-0.3979947326497391,-0.404005149391626,-0.4098522817625927,-0.4155384705253189,-0.4210662429478699,-0.4264382716654423,-0.4316573428351398,-0.4367263311222237,-0.441648179711595,-0.4464258840343073,-0.4510624782539651,-0.455561023830604,-0.4599245996648682,-0.464156293477155,-0.4682591941638128,-0.4722363849631111,-0.4760909372881727,-0.479825905154538,-0.4834443201303558,-0.4869491867539617,-0.4903434783912764,-0.4936301334985008,-0.4968120522671748,-0.4998920936302656,-0.502873072608887,-0.5057577579812534,-0.5085488702548099,-0.5112490799254247,-0.5138610060057969,-0.516387214803206,-0.518830218932595,-0.5211924765478572,-0.5234763907728053,-0.5256843093206159,-0.527818524279834,-0.5298812720588348,-0.5318747334707968,-0.5338010339470801,-0.5356622438670964,-0.5374603789913176,-0.5391974009884566,-0.5408752180454207,-0.5424956855481285,-0.5440606068289415,-0.5455717339692179,-0.5470307686499802,-0.5484393630443207,-0.5497991207435073,-0.551111597713526,-0.5523783032744721,-0.5536007010998809,-0.5547802102286383,-0.5559182060885215,-0.5570160215263379,-0.5580749478413388,-0.5590962358183115,-0.5600810967602121,-0.5610307035142161,-0.5619461914930596,-0.5628286596868134,-0.5636791716642747
-0.3660278744236207,-0.3357103310330021,-0.333897863206127,-0.3306517304709688,-0.3243156412796979,-0.3157402473084835,-0.3059382306194245,-0.2956048493265788,-0.2852496974059232,-0.2753345610696022,-0.2663094606028047,-0.258592112274445,-0.2525284977984207,-0.2483573032223249,-0.2461916435245667,-0.2460212754738966,-0.2477311159299747,-0.251129312296484,-0.2559783555686385,-0.2620239266381217,-0.2690178555793289,-0.2767335885930698,-0.2849744274438108,-0.2935760328735737,-0.3024051083879837,-0.3113559991680618,-0.3203464790865901,-0.3293135159989925,-0.3382094283312739,-0.3469985988777242,-0.3556547704187468,-0.3641588773855312,-0.3724973394308007,-0.3806607370410574,-0.3886427945511586,-0.396439605702719,-0.4040490477482315,-0.4114703404605317,-0.4187037154471046,-0.4257501688148038,-0.4326112763871869,-0.4392890556189893,-0.4457858622052323,-0.4521043123557881,-0.4582472239950021,-0.4642175718761434,-0.4700184529096819,-0.4756530589844296,-0.4811246552917783,-0.4864365627044218,-0.491592143160368,-0.4965947873019828,-0.5014479038247613,-0.5061549101583697,-0.5107192241985589,-0.5151442569084933,-0.5194334056356947,-0.5235900480662338,-0.5276175367394508,-0.5315191940652265,-0.535298307814604,-0.5389581270474635,-0.5425018584534748,-0.5459326630840279,-0.5492536534537423,-0.5524678909921965,-0.5555783838256225,-0.558588084871522,-0.5614998902270886,-0.5643166378299467,-0.5670411063761878,-0.5696760144772214,-0.5722240200353464,-0.5746877198256468,-0.5770696492605674,-0.5793722823283132,-0.5815980316853872,-0.5837492488900816,-0.5858282247639078,-0.5878371898663031,-0.5897783150728426,-0.5916537122444845,-0.5934654349746795,-0.5952154794098459,-0.5969057851305207,-0.5985382360855118,-0.6001146615720818,-0.6016368372532904,-0.6031064862089982,-0.6045252800121551,-0.6058948398271871,-0.607216737522392,-0.6084924967953332,-0.6097235943056819,-0.6109114608118626,-0.6120574823075258,-0.6131630011577015,-0.6142293172280882,-0.6152576890090912,-0.6162493347296953,-0.6172054334600788
