Values,Values_00_43_17,Values_00_53_14,Values_01_03_03,Values_01_13_14,Values_01_23_35,Values_01_33_56,Values_01_44_17,Values_01_54_38,Values_02_04_59,Values_02_15_28,Values_02_25_45,Values_02_36_33,Values_02_47_27,Values_02_58_25,Values_03_09_15,Values_03_20_13
2.6495357212219446,2.6495357212219446,2.6495357212219446,2.6495357212219446,2.6495357212219446,2.6495357212219446,2.6495357212219446,2.6495357212219446,2.6495357212219446,2.6495357212219446,2.6495357212219446,2.6495357212219446,2.6495357212219446,2.6495357212219446,2.6495357212219446,2.6495357212219446,2.6495357212219446
0.3014271498174359,0.3022828783449673,0.3028643485685923,0.3031150137213268,0.3031916186573352,0.303165152911216,0.3030730751738017,0.3029372771565305,0.3027712921725637,0.3025839087005724,0.3023811443776258,0.3021673486966462,0.3019458206059431,0.301719153313397,0.3014894264364353,0.3012583143440762,0.30102715035467226
-0.058347990924016,-0.0563717729247411,-0.0550219331805716,-0.0544364391161279,-0.0542523128361038,-0.0543056331570342,-0.0545099935433366,-0.0548149046546568,-0.0551891600054432,-0.0556125044340381,-0.056071081254624,-0.0565548871397671,-0.0570563452779902,-0.0575695077680358,-0.0580896104176935,-0.0586128212649082,-0.05913609137254786
-0.1313284281126739,-0.1282218666201989,-0.1260909235480257,-0.1251609121653196,-0.1248602633119226,-0.124931692289642,-0.1252397450542536,-0.1257052834538093,-0.1262793935498017,-0.1269303325299449,-0.1276363939780375,-0.1283819167309311,-0.1291550455036078,-0.1299464779632725,-0.1307487648123557,-0.1315559142666839,-0.13236315753269723
-0.1988549176228285,-0.1946440473502338,-0.1917440094433797,-0.1904702756590525,-0.1900471136335917,-0.1901265081087489,-0.1905254735264982,-0.1911371146655457,-0.1918953573193737,-0.1927573262216467,-0.1936937107701169,-0.1946833719713444,-0.1957103140111096,-0.1967619884849829,-0.1978283465114576,-0.1989013030514445,-0.1999744196296013
-0.2613549389803366,-0.2560655321991021,-0.2524081970338052,-0.2507911448639525,-0.250239008752521,-0.2503157100061352,-0.2507922625842955,-0.2515349138420713,-0.2524609810257031,-0.253516814431243,-0.2546657467662283,-0.2558813427497442,-0.2571436053469235,-0.2584368497523756,-0.2597485143287606,-0.2610684886605885,-0.26238871606791053
-0.3200661988186584,-0.3137226571907475,-0.3093187762091582,-0.3073579206202797,-0.3066695598648145,-0.3067321794575181,-0.3072722996135947,-0.3081301948291017,-0.3092071159462858,-0.3104389906108317,-0.3117820382154689,-0.3132047060057235,-0.3146831332798792,-0.3161986074697913,-0.3177361405373244,-0.3192836645388731,-0.3208315563868657
-0.3741860449531166,-0.3668104773312496,-0.3616690335568107,-0.3593625433212018,-0.3585295986534749,-0.3585657801363972,-0.3591545664338219,-0.3601111109894296,-0.361321119940591,-0.362710436884458,-0.3642284025004971,-0.3658385193959526,-0.3675131966431809,-0.3692307997589704,-0.3709739988606659,-0.3727288353019609,-0.3744841709822483
-0.4236579433454473,-0.4152698084411848,-0.4093976836630997,-0.4067420970763502,-0.4057548404110873,-0.4057510127970335,-0.4063724434521191,-0.407409980590881,-0.408734284953792,-0.4102614403118406,-0.4119341337307213,-0.4137110895979856,-0.4155611158384003,-0.4174597589883888,-0.4193874300452687,-0.4213283454943729,-0.4232699032936242
-0.4681649203592267,-0.4587807158806977,-0.4521823869165319,-0.4491723406430192,-0.4480194188895186,-0.4479605485485453,-0.4485972379623386,-0.4496968079516873,-0.4511153495711982,-0.452759495891171,-0.4545654955487067,-0.4564874544977335,-0.4584907041439217,-0.4605480720638663,-0.462637791085111,-0.4647423177657784,-0.466847636996023
