Values,Values_10_11_54,Values_10_22_28,Values_10_33_04,Values_10_43_04,Values_10_53_01,Values_11_02_57,Values_11_12_55,Values_11_23_45,Values_11_34_08,Values_11_44_25,Values_11_54_46,Values_12_05_04,Values_12_15_19,Values_12_25_35,Values_12_35_19,Values_12_44_41,Values_12_54_18,Values_13_04_40,Values_13_16_18,Values_13_28_18,Values_13_39_30,Values_13_51_27,Values_14_03_34,Values_14_15_20,Values_14_26_59,Values_14_39_07,Values_14_51_16,Values_15_01_45,Values_15_11_00,Values,Values_15_20_47,Values_15_30_14,Values_15_39_39,Values_15_49_04,Values_15_58_28,Values_16_07_50,Values_16_17_15,Values_16_26_35,Values_16_35_58,Values_16_45_19,Values_16_54_40,Values_17_04_01,Values_17_13_27,Values_17_22_47,Values_17_32_08,Values_17_41_27,Values_17_50_47,Values_18_00_09,Values_18_09_29,Values_18_18_49,Values_18_28_09,Values_18_37_28,Values_18_46_46,Values_18_56_07,Values_19_05_28,Values_19_14_48,Values_19_24_08,Values_19_33_26,Values_19_42_44,Values_19_52_04,Values_20_01_24,Values_20_10_43,Values_20_20_03,Values_20_29_22,Values_20_38_41,Values_20_47_58,Values_20_57_16,Values_21_06_34,Values_21_15_53,Values_21_25_12,Values_21_34_30,Values_21_43_47,Values_21_53_06,Values_22_02_27,Values_22_11_48,Values_22_21_12,Values_22_30_30,Values_22_39_46,Values_22_49_02,Values_22_58_19,Values_23_07_36,Values_23_16_54,Values_23_26_09,Values_23_35_27,Values_23_44_45,Values_23_54_03,Values_00_03_18,Values_00_12_35,Values_00_21_52,Values_00_31_07,Values_00_40_24,Values_00_49_40,Values_00_58_57,Values_01_08_15,Values_01_17_32,Values_01_26_47,Values_01_36_02,Values_01_45_18,Values_01_54_34,Values_02_03_53,Values_02_13_09
-0.025450832,0.299194707,0.610609512,0.703610753,0.747227312,0.780592444,0.824222002,0.902232572,0.995833616,1.067746552,1.179217337,1.231928104,1.248960794,1.255775667,1.268315966,1.315009863,1.400026168,1.479343526,1.539262593,1.584364002,1.622063378,1.657372058,1.693426005,1.732374952,1.775807121,1.824696953,1.878738699,1.935166375,1.988404129,2.032362454,2.040387422,2.06378839,2.083064406,2.092597594,2.095128871,2.092922868,2.087609007,2.080287587,2.071684994,2.062281058,2.052396289,2.042247422,2.031982173,2.021701339,2.011473298,2.001343831,1.991342929,1.981489565,1.97179506,1.962265424,1.952903,1.943707584,1.934677193,1.925808579,1.917097573,1.908539308,1.900128368,1.891858877,1.883724566,1.875718804,1.867834628,1.86006476,1.85240162,1.844837336,1.83736376,1.829972475,1.822654813,1.815401869,1.808204521,1.801053448,1.79393916,1.786852024,1.7797823,1.772720175,1.76565581,1.758579386,1.751481156,1.744351506,1.737181013,1.729960509,1.722681154,1.715334497,1.707912549,1.700407847,1.692813515,1.685123322,1.677331732,1.669433943,1.661425923,1.653304428,1.645067016,1.636712048,1.62823868,1.619646843,1.610937222,1.60211122,1.593170922,1.584119053,1.574958933,1.565694429,1.556329912,1.546870203
-0.023183621,0.30105719,0.612027871,0.704886535,0.748436275,0.781750327,0.825312638,0.903200888,0.996652202,1.068449313,1.179736303,1.232358259,1.249360817,1.256163048,1.268679185,1.315281501,1.400129844,1.479291276,1.539093416,1.584107276,1.621733679,1.656974096,1.692958358,1.731832001,1.775180136,1.823975279,1.877912235,1.934230383,1.987364746,2.031237701,2.039247088,2.062602625,2.081841226,2.091355908,2.093882271,2.091680554,2.086377021,2.079069839,2.070483984,2.061098355,2.051232837,2.041103743,2.030858501,2.020597711,2.010389618,2.000279912,1.990298525,1.980464393,1.970788813,1.961277785,1.951933645,1.942756191,1.933743442,1.924892156,1.916198173,1.907656635,1.899262136,1.891008812,1.882890405,1.874900298,1.867031541,1.85927687,1.85162872,1.844079234,1.83662028,1.829243458,1.821940116,1.814701368,1.807518107,1.800381032,1.793280672,1.786207412,1.779151531,1.772103235,1.765052705,1.757990141,1.750905816,1.743790133,1.736633688,1.729427332,1.72216224,1.714829981,1.707422579,1.699932587,1.692353141,1.684678024,1.67690171,1.669019406,1.661027089,1.65292152,1.644700263,1.636361682,1.627904934,1.619329952,1.610637417,1.601828731,1.592905974,1.583871867,1.574729721,1.565483399,1.55613726,1.546696117
-0.019070714,0.304751811,0.615289053,0.708006574,0.751489589,0.78475223,0.828245916,0.906009374,0.999309317,1.07098974,1.182093519,1.2346322,1.251603839,1.258389424,1.270879815,1.317391555,1.402073561,1.481081384,1.540768733,1.585696446,1.62325014,1.658421211,1.694333305,1.733127796,1.776386775,1.82508095,1.878905837,1.935106376,1.988128683,2.031907228,2.039899011,2.0632019,2.082393827,2.091880903,2.094393548,2.092187691,2.086886459,2.079585848,2.071009361,2.061634887,2.05178161,2.04166535,2.031433187,2.021185473,2.010990282,2.000893183,1.990924026,1.981101696,1.971437453,1.961937277,1.952603496,1.943435901,1.934432515,1.925590102,1.916904507,1.908370884,1.899983837,1.891737516,1.883625674,1.87564171,1.867778687,1.860029357,1.85238617,1.844841286,1.837386589,1.830013696,1.822713974,1.815478551,1.808298342,1.801164062,1.79406626,1.786995339,1.779941597,1.772895261,1.765846529,1.75878562,1.751702827,1.744588572,1.737433469,1.730228386,1.722964516,1.715633442,1.708227205,1.700738369,1.693160086,1.685486146,1.677711033,1.669829962,1.661838912,1.653734649,1.645514737,1.637177538,1.628722204,1.620148663,1.611457589,1.602650371,1.593729077,1.584696414,1.575555678,1.566310712,1.556965857,1.547525905
-0.012685106,0.310698626,0.620817708,0.713397421,0.75681375,0.790023714,0.83344597,0.911080654,1.004226586,1.07578864,1.186709504,1.23917363,1.256117168,1.262884837,1.275348993,1.321771166,1.406288151,1.48514367,1.544716896,1.589558121,1.62703749,1.662136205,1.697971716,1.736681294,1.779844099,1.828429158,1.882132879,1.938205999,1.991105995,2.034779654,2.042751517,2.065993555,2.085128399,2.094577717,2.097066864,2.09484752,2.089539667,2.082237086,2.073661731,2.064290395,2.054441478,2.044330233,2.03410333,2.023860826,2.013670583,2.003578023,1.993612893,1.983794009,1.974132587,1.964634581,1.955302302,1.946135539,1.937132314,1.928289397,1.919602644,1.911067219,1.90267774,1.894428371,1.886312882,1.878324687,1.870456867,1.862702191,1.855053128,1.847501857,1.84004028,1.832660034,1.825352504,1.818108841,1.810919978,1.803776653,1.796669434,1.789588748,1.782524912,1.775468175,1.768408759,1.761336903,1.754242922,1.74711726,1.739950551,1.732733684,1.725457871,1.718114714,1.71069627,1.70319512,1.695604428,1.687917997,1.680130318,1.672236616,1.664232872,1.656115854,1.647883124,1.639533039,1.631064746,1.622478159,1.61377394,1.604953461,1.596018771,1.586972554,1.577818081,1.568559169,1.559200128,1.549745721
-0.003772992,0.319142739,0.628864503,0.721312029,0.764661662,0.797816567,0.841162864,0.918662939,1.011650927,1.083091789,1.193829552,1.246231499,1.263153757,1.269905079,1.282343388,1.328676608,1.413029143,1.491732272,1.551190265,1.59594263,1.6333439,1.668365039,1.70411733,1.742734012,1.78579142,1.83425704,1.887828376,1.943762255,1.996527833,2.04008447,2.048033757,2.071205599,2.090271619,2.099671812,2.102126554,2.099883304,2.094558879,2.08724478,2.078661321,2.069284108,2.059430668,2.04931561,2.03908513,2.028838944,2.018644662,2.008547532,1.998577178,1.988752336,1.979084167,1.969578594,1.960237913,1.951061906,1.942048598,1.933194766,1.92449628,1.915948317,1.907545512,1.899282049,1.891151717,1.88314795,1.875263851,1.867492211,1.859825521,1.852255982,1.84477552,1.837375796,1.830048219,1.822783965,1.815573991,1.808409062,1.801279771,1.794176571,1.787089807,1.780009755,1.772926662,1.765830798,1.758712504,1.75156225,1.744370697,1.737128761,1.729827679,1.722459075,1.715015031,1.707488146,1.699871602,1.692159219,1.684345501,1.676425679,1.668395743,1.660252463,1.651993399,1.643616903,1.63512211,1.626508924,1.617777987,1.60893065,1.599968938,1.590895504,1.581713588,1.57242697,1.563039923,1.553557166
0.007977223,0.330385845,0.639737206,0.732060655,0.775343548,0.808439808,0.851703741,0.929061313,1.021885887,1.093201262,1.203755011,1.256110953,1.273022818,1.279762067,1.292175471,1.338419527,1.422607003,1.501155932,1.560495576,1.60515451,1.642471589,1.67740756,1.713067602,1.751581011,1.794521405,1.842854892,1.896280316,1.952060943,2.004677991,2.048103681,2.05602737,2.07911845,2.098102485,2.107440891,2.109849112,2.107570393,2.102218337,2.094882085,2.086280211,2.076887028,2.0670191,2.056890311,2.046646321,2.036386451,2.026178027,2.016066095,2.006080142,1.996238806,1.986553193,1.97702919,1.967669076,1.958472629,1.949437879,1.940561617,1.931839727,1.923267407,1.914839314,1.906549655,1.898392246,1.890360545,1.882447683,1.87464648,1.866949452,1.859348833,1.851836575,1.844404371,1.83704366,1.829745649,1.822501329,1.815301495,1.808136774,1.800997655,1.793874516,1.786757668,1.779637396,1.772504003,1.765347867,1.758159495,1.750929584,1.743649083,1.736309263,1.728901782,1.72141875,1.713852796,1.706197127,1.698445584,1.690592689,1.68263369,1.674564586,1.666382151,1.658083947,1.649668321,1.641134399,1.632482068,1.623711952,1.614825376,1.605824334,1.596711444,1.587489908,1.57816346,1.568736328,1.559213179
0.022913479,0.344764523,0.653779104,0.745989332,0.78920542,0.822238142,0.865411232,0.942616102,1.035269961,1.106453705,1.216821513,1.269151632,1.286068158,1.292802178,1.305191812,1.351345179,1.435365302,1.513756113,1.572972016,1.617530531,1.654754817,1.689595463,1.72515163,1.763548774,1.80635792,1.854543976,1.907807424,1.96341839,2.015870612,2.059149491,2.067044166,2.090042603,2.108929965,2.118192531,2.120540824,2.118213844,2.112821912,2.105451704,2.096819943,2.087399541,2.077505992,2.06735238,2.057083762,2.046799015,2.036565147,2.026426978,2.016413839,2.006544267,1.996829305,1.987274803,1.977883026,1.968653752,1.959585022,1.950673642,1.94191552,1.933305879,1.924839407,1.916510341,1.908312528,1.900239462,1.892284307,1.884439917,1.876698847,1.869053364,1.861495462,1.854016868,1.846609064,1.839263296,1.831970596,1.824721801,1.817507584,1.810318475,1.8031449,1.795977215,1.788805753,1.781620864,1.774412974,1.767172638,1.7598906,1.752557858,1.745165726,1.737705907,1.730170553,1.722552332,1.714844484,1.707040884,1.699136081,1.691125344,1.683004687,1.674770898,1.66642154,1.65795496,1.649370276,1.640667358,1.631846809,1.622909926,1.613858668,1.604695614,1.595423917,1.586047263,1.57656982,1.566996196
0.041395253,0.362625229,0.67134406,0.763454954,0.806604174,0.839567044,0.882638534,0.959677923,1.052151613,1.12319529,1.233373895,1.285702589,1.302643106,1.30938115,1.32174793,1.367807213,1.451655433,1.529881659,1.58896585,1.633414306,1.670534471,1.705266854,1.7407047,1.778969734,1.821630531,1.86965101,1.922733637,1.97815591,2.030424631,2.07353874,2.08140056,2.104293063,2.123067437,2.132238634,2.134512217,2.132122879,2.126677561,2.119260353,2.110586,2.101125889,2.091194349,2.08100357,2.070697945,2.060375861,2.050103972,2.039926851,2.029873662,2.019962833,2.010205341,2.000607004,1.991170074,1.981894336,1.972777847,1.963817439,1.955009048,1.946347935,1.937828823,1.929445989,1.921193321,1.913064356,1.905052302,1.897150056,1.889350219,1.881645107,1.874026758,1.866486952,1.859017219,1.851608857,1.84425295,1.836940394,1.829661913,1.822408098,1.815169433,1.807936335,1.800699197,1.793448434,1.786174533,1.778868112,1.771519979,1.764121192,1.756663129,1.749137549,1.741536661,1.733853184,1.726080409,1.718212252,1.710243301,1.702168856,1.693984958,1.68568841,1.677276786,1.668748436,1.66010247,1.651338746,1.642457843,1.633461027,1.624350221,1.615127955,1.605797332,1.596361976,1.586825992,1.577193915
0.063766585,0.384297203,0.692769418,0.784798186,0.827880514,0.860765693,0.903722347,0.980580627,1.072862189,1.143754588,1.253739022,1.306095094,1.323083267,1.329836779,1.342180922,1.388140237,1.471809115,1.54986127,1.608802879,1.653128746,1.690130523,1.724738711,1.760040746,1.798154743,1.840646978,1.888480631,1.94136057,1.996572277,2.048636264,2.091565409,2.099390084,2.122161872,2.140805232,2.149867986,2.152050647,2.149583495,2.144069964,2.136591417,2.127860477,2.118346881,2.108363678,2.098122085,2.087765761,2.077392557,2.067068745,2.05683863,2.046731198,2.036764767,2.026950248,2.01729343,2.007796563,1.998459442,1.989280151,1.980255555,1.971381633,1.962653689,1.954066494,1.945614375,1.937291272,1.929090773,1.921006143,1.913030334,1.905156004,1.897375527,1.889681003,1.882064272,1.874516928,1.867030335,1.859595645,1.852203822,1.844845664,1.837511834,1.830192892,1.822879333,1.815561629,1.808230275,1.800875839,1.793489022,1.786060712,1.778582049,1.771044488,1.763439866,1.755760464,1.747999071,1.740149041,1.73220435,1.724159635,1.716010241,1.707752244,1.699382473,1.69089852,1.682298742,1.673582246,1.664748879,1.655799195,1.64673443,1.637556462,1.628267773,1.618871403,1.609370911,1.599770325,1.590074098
0.090328233,0.410064595,0.718348068,0.810315518,0.853331017,0.886129067,0.928955007,1.005613458,1.09768808,1.168414689,1.278197871,1.330614648,1.34767846,1.354460778,1.366781268,1.412631563,1.496110093,1.573975181,1.632760125,1.67694776,1.713813759,1.748278645,1.783424143,1.821364883,1.863665019,1.911287276,1.963939427,2.01891567,2.070750983,2.113472633,2.121255405,2.143890158,2.162382731,2.171318402,2.173392481,2.170830688,2.165232788,2.157677255,2.148874434,2.139292271,2.129242424,2.118935045,2.108513,2.09807356,2.087682585,2.077384097,2.067206898,2.057169194,2.047281836,2.037550591,2.027977713,2.018563022,2.009304638,2.000199473,1.991243557,1.98243225,1.973760384,1.965222347,1.956812143,1.948523427,1.94034953,1.932283473,1.924317986,1.916445512,1.908658229,1.900948052,1.893306655,1.885725483,1.878195774,1.870708578,1.863254783,1.855825145,1.84841032,1.8410009,1.833587457,1.826160587,1.818710962,1.811229386,1.803706849,1.796134595,1.788504178,1.780807532,1.773037033,1.765185557,1.757246542,1.749214037,1.741082748,1.732848076,1.724506145,1.716053821,1.707488724,1.69880922,1.690014422,1.681104164,1.672078978,1.662940067,1.653689261,1.644328986,1.634862216,1.62529243,1.615623573,1.605860004
