Values,Values_10_08_38,Values_10_17_14,Values_10_25_44,Values_10_34_18,Values_10_42_55,Values_10_51_35,Values_10_54_55
0.644338408,0.703417644,0.677424936,0.659081937,0.647396335,0.640298634,0.636184976,0.635168937
0.648298601,0.70727223,0.681331093,0.663025604,0.65136506,0.644283677,0.640180525,0.639167388
0.649606832,0.708463168,0.682573294,0.664304017,0.652666223,0.645598283,0.641502536,0.640491111
0.652398414,0.711131517,0.685292798,0.667059164,0.655443053,0.648387199,0.644297374,0.64328709
0.65803531,0.716640347,0.690852764,0.672654412,0.66105924,0.654014498,0.649929514,0.648919948
0.666969575,0.725442942,0.699706533,0.681543282,0.6699686,0.662934351,0.658853505,0.65784438
0.679586229,0.737925849,0.71224068,0.694112503,0.682558148,0.675534134,0.671457109,0.670448296
0.696365657,0.754571148,0.728937279,0.710844268,0.699310326,0.692296616,0.688223457,0.687214967
0.717817409,0.775890339,0.750307781,0.732250106,0.720736886,0.713733854,0.709664949,0.708656926
0.744442048,0.802386203,0.776854875,0.75883274,0.747340733,0.74034903,0.736285087,0.735277803
0.776699217,0.834520883,0.809040563,0.791054151,0.779583988,0.772604502,0.768546521,0.767540362
0.814964291,0.87267254,0.847242808,0.829292225,0.81784462,0.810878431,0.806827661,0.805823118
0.859492238,0.917099194,0.891719372,0.873804573,0.86238026,0.855428582,0.851386467,0.850384114
0.910381691,0.967902761,0.94257185,0.924692568,0.913292221,0.906356327,0.902324445,0.901324918
0.967544813,1.024998868,0.999715475,0.981871134,0.970495287,0.963576424,0.959556404,0.958560372
1.030682955,1.088092439,1.062854709,1.045044339,1.033693281,1.026792577,1.022786006,1.021794137
1.099269994,1.156660952,1.131466488,1.113688633,1.102362311,1.095480662,1.091488983,1.090501908
1.172544188,1.2299462,1.204791986,1.187044613,1.175742521,1.168880482,1.164904879,1.163923145
1.249509371,1.306955368,1.281837692,1.264118101,1.252839175,1.24599684,1.242038119,1.241062153
1.328945879,1.386471854,1.361386225,1.343690973,1.332433486,1.325610372,1.321668847,1.320698906
1.409431283,1.46707588,1.442016955,1.424341781,1.413103253,1.406298193,1.40237357,1.4014097
1.489370743,1.547174736,1.522136245,1.504476023,1.493253143,1.486464194,1.482555467,1.481597465
1.567036006,1.625041663,1.600016352,1.582365062,1.571153636,1.564378001,1.560483374,1.559530753
1.640613098,1.698863457,1.673843041,1.656193768,1.644988699,1.638222687,1.63433951,1.633391477
1.708253818,1.766791883,1.741767026,1.724111997,1.712907298,1.70614631,1.702271055,1.701326495
1.768140001,1.82700788,1.801968205,1.78429887,1.773087721,1.766326282,1.762454549,1.76151203
1.818525595,1.877763608,1.852697752,1.83500491,1.823779767,1.817011601,1.813138171,1.812195952
1.857850823,1.917496595,1.892392312,1.874666291,1.863419044,1.856637198,1.852756131,1.851812196
1.884651302,1.944738901,1.919583215,1.901814107,1.890536292,1.883733314,1.879838088,1.878890194
1.897993529,1.958552594,1.933332034,1.915509991,1.904193056,1.89736122,1.893444925,1.892490662
1.896656476,1.957711548,1.932412411,1.91452797,1.903163578,1.896295148,1.892350708,1.891387578
1.880808165,1.942377857,1.916986593,1.899031084,1.887611482,1.880699032,1.87671948,1.875744992
1.856474355,1.918571094,1.893074638,1.875040544,1.863558901,1.85659562,1.852574368,1.851586126
1.829340116,1.891972171,1.866357699,1.848238604,1.83668904,1.829668792,1.825599711,1.82459545
1.799506441,1.862679445,1.83693412,1.818724695,1.807102326,1.800019711,1.795897181,1.794874787
1.766514427,1.830230427,1.804341751,1.786038236,1.774339594,1.767190277,1.763009455,1.761967051
1.730458561,1.794714792,1.768671123,1.750271941,1.738495502,1.731276649,1.727033819,1.725969876
1.691125224,1.75591301,1.729704135,1.711210569,1.699357347,1.692068107,1.687761077,1.68667455
1.648443566,1.713747082,1.687364938,1.668781942,1.656856183,1.649498271,1.645126843,1.644017325
1.602296035,1.668091108,1.641530631,1.622867722,1.610877684,1.603456018,1.599022525,1.597890425
1.552596174,1.618849101,1.592109197,1.573381457,1.561340268,1.553863692,1.549373592,1.548220336
1.499264638,1.565931096,1.539015758,1.520244914,1.508171499,1.500653556,1.496116084,1.494944333
1.442242167,1.509266254,1.482185802,1.46340138,1.451321441,1.443781199,1.439210057,1.438023939
1.381489939,1.448803419,1.421575855,1.402816372,1.390763401,1.383226303,1.378640381,1.377445736
1.316994276,1.384516079,1.357168536,1.338482713,1.326499003,1.318997726,1.314421826,1.313226454
1.248769931,1.31640598,1.288976246,1.270424192,1.258561817,1.251137102,1.246602655,1.245416553
1.17686376,1.244507177,1.217045239,1.198699565,1.187021291,1.179722715,1.175268442,1.174104039
1.101358053,1.168889809,1.141459379,1.123406188,1.111986257,1.104872912,1.100545417,1.099417775
1.022373644,1.089663677,1.062343637,1.044683331,1.033608078,1.026749106,1.022603356,1.021530338
0.940072592,1.00698143,0.979867124,0.962714964,0.952083215,0.945558164,0.941657814,0.940660201
0.854660364,0.921041242,0.894245544,0.877731902,0.867655091,0.861554037,0.857971576,0.85707313
0.766387367,0.832088818,0.805742888,0.790013127,0.780615092,0.775038497,0.771855176,0.771082616
0.675549736,0.740418599,0.714672257,0.699886187,0.691302593,0.686360861,0.683666359,0.683049269
0.582489267,0.646374037,0.621395662,0.607726522,0.600103891,0.595916586,0.593808414,0.593379049
0.48759242,0.550346811,0.526322713,0.513955664,0.50744998,0.504144704,0.502727311,0.502520312
0.391288326,0.452774934,0.429908144,0.419038245,0.413813141,0.411524059,0.410907656,0.410959661
0.294045783,0.35413969,0.332648137,0.323477832,0.319702374,0.318568404,0.318867503,0.319216673
0.196369265,0.254961418,0.23507549,0.227811639,0.225657743,0.225820445,0.227152142,0.227837592
0.098793973,0.155794198,0.137753722,0.132604235,0.132243773,0.133844979,0.136327019,0.137388178
0.001880059,0.057219552,0.041270238,0.038440398,0.040042074,0.043221323,0.046969992,0.048445904
-0.093793872,-0.040160675,-0.053771237,-0.054082658,-0.050356583,-0.04546474,-0.040336826,-0.038408236
-0.187637785,-0.13573207,-0.146758741,-0.14436346,-0.138360484,-0.131629217,-0.125015377,-0.122598066
-0.27905759,-0.228875777,-0.237080413,-0.231804583,-0.223385235,-0.214698129,-0.206499854,-0.203560402
-0.367462638,-0.31897677,-0.324132825,-0.315820827,-0.30486177,-0.294115402,-0.284244503,-0.280752843
-0.452273129,-0.405431988,-0.407329035,-0.395847004,-0.382243902,-0.369350214,-0.357730819,-0.353660906
