Values,Values_10_08_38,Values_10_17_14,Values_10_25_44,Values_10_34_18,Values_10_42_55,Values_10_51_35,Values_10_54_55
0.017746658,0.017746658,0.017746658,0.017746658,0.017746658,0.017746658,0.017746658,0.017746658
-0.005121285,-0.005987119,-0.006003391,-0.006090989,-0.006249173,-0.006445288,-0.006654984,-0.006734885
-0.016365605,-0.018113137,-0.018139509,-0.018307077,-0.018615428,-0.018999843,-0.019411929,-0.019569121
-0.025185615,-0.027829504,-0.027859725,-0.028099444,-0.028549643,-0.029114185,-0.029720982,-0.029952713
-0.031467564,-0.035023385,-0.035051173,-0.035355245,-0.035939059,-0.036675677,-0.037469645,-0.037773219
-0.034775911,-0.039260945,-0.039279975,-0.039640642,-0.040349992,-0.041250861,-0.04222472,-0.04259754
-0.034935886,-0.040369458,-0.040373319,-0.040782829,-0.04160977,-0.042667276,-0.043813993,-0.044253564
-0.031641995,-0.038045782,-0.038027934,-0.038478492,-0.039415167,-0.040621876,-0.041934644,-0.04243856
-0.02457868,-0.031977085,-0.0319308,-0.032414507,-0.033453106,-0.034801726,-0.036273937,-0.036839876
-0.013426814,-0.021847363,-0.021765651,-0.02227444,-0.023407138,-0.024890476,-0.026515682,-0.027141393
0.002111431,-0.007362308,-0.007237836,-0.00776338,-0.008982268,-0.010593163,-0.012365023,-0.013048308
0.022287121,0.011725247,0.011900263,0.011366644,0.010069655,0.008338412,0.006426201,0.005687514
0.047284072,0.03559489,0.035828796,0.035296257,0.033929545,0.032085314,0.030039116,0.029247202
0.077200137,0.064340014,0.064641849,0.064120146,0.06269251,0.060742927,0.058569279,0.05772636
0.112033655,0.097954375,0.098334017,0.097833647,0.096354451,0.094307576,0.092013332,0.091121726
0.151674876,0.136323687,0.136792,0.136324351,0.134803685,0.132668166,0.130260654,0.129322838
0.195903295,0.179223145,0.179792142,0.179369634,0.177818483,0.175603734,0.173090933,0.172109601
0.244390907,0.226320911,0.227003911,0.22664014,0.225070543,0.222786923,0.220177648,0.219155786
0.296711198,0.277187358,0.277999142,0.277708994,0.2761342,0.273793191,0.271097279,0.270038229
0.352353196,0.331309402,0.33226635,0.332066093,0.330500684,0.328115048,0.325343521,0.324251052
0.410739511,0.388108826,0.38922903,0.389136349,0.387596327,0.385180224,0.382345442,0.381223802
0.471247033,0.446963262,0.448266593,0.448300573,0.446803378,0.444372443,0.441488197,0.440342157
0.533228451,0.507227971,0.508736084,0.508917103,0.507481565,0.505052906,0.502134457,0.500969333
0.596033616,0.568257431,0.569993686,0.570343215,0.568989404,0.566581514,0.563645554,0.562467198
0.659026891,0.62942284,0.631412116,0.631952406,0.630701369,0.628333941,0.625398458,0.62421322
0.721606324,0.69013137,0.692399755,0.693153391,0.692026775,0.689720394,0.686804434,0.685619084
0.783202212,0.749824708,0.752399038,0.753388371,0.752407914,0.750183633,0.747306949,0.74612856
0.843318746,0.808020561,0.81092781,0.812174265,0.811361167,0.809239966,0.806422555,0.805258347
0.901437931,0.864216298,0.867482818,0.869006091,0.868380287,0.866382432,0.863643977,0.862501127
0.957271744,0.91814079,0.921791411,0.923608591,0.923187947,0.921332265,0.918691499,0.917576919
1.010189841,0.969181451,0.973238519,0.975363206,0.9751627,0.973465839,0.970939875,0.969859975
1.060303473,1.017467967,1.02195026,1.024391656,1.024422546,1.022898206,1.020501844,1.019462292
1.111458584,1.066864087,1.071785906,1.074548117,1.074817284,1.073475581,1.07122071,1.070226215
1.167275213,1.121003264,1.12637455,1.12945668,1.12996658,1.128813905,1.1267093,1.125763529
1.22773292,1.179874745,1.185701366,1.189097703,1.189846444,1.188885462,1.186936742,1.186042292
1.292424085,1.243080478,1.249363724,1.253063346,1.254044349,1.2532737,1.251483066,1.250641377
1.361276116,1.310557505,1.3172935,1.321279845,1.322481489,1.321895484,1.32026145,1.319472709
1.433990359,1.382016399,1.389195617,1.393446172,1.394851535,1.394439926,1.392957113,1.392220185
1.510333437,1.457232591,1.46483935,1.469325373,1.470912012,1.47065979,1.469318748,1.468631111
1.59001315,1.535921988,1.543934023,1.548620359,1.550360176,1.550247453,1.54903454,1.548392242
1.672727569,1.617789871,1.626177956,1.63102296,1.632882165,1.632884121,1.63178145,1.631179087
1.758148372,1.70251398,1.711241653,1.716197236,1.718136418,1.718223356,1.717208816,1.716639535
1.845928212,1.789751633,1.798775034,1.803786855,1.80576119,1.805898688,1.804946059,1.804401592
1.935700157,1.879138922,1.888406774,1.893414603,1.895374202,1.895523394,1.894602559,1.894073293
2.027080229,1.970293023,1.979746782,1.984685045,1.986575465,1.986693454,1.985770726,1.985245803
2.119669406,2.062813997,2.072388205,2.077186723,2.078949649,2.07899006,2.078028622,2.077496088
2.213056306,2.156287314,2.165910171,2.17049511,2.172069209,2.17198289,2.170943364,2.17039035
2.306820191,2.250286756,2.259880931,2.264175963,2.265497914,2.26523378,2.26407491,2.263487862
2.400534395,2.344377821,2.353861523,2.357789182,2.358794867,2.358300882,2.356980338,2.356345278
2.49377013,2.438121584,2.447409886,2.45089311,2.451518954,2.450743235,2.449218514,2.448521345
2.586100642,2.531079005,2.540085416,2.543049239,2.543233663,2.542125678,2.540355094,2.539581924
2.677105646,2.622815602,2.631453859,2.633827217,2.633512171,2.632024005,2.629967736,2.629105228
2.766375948,2.712906425,2.721092472,2.722810056,2.721942578,2.720030223,2.717651373,2.716687102
2.85351816,2.800941189,2.808595275,2.80959938,2.808133124,2.805757744,2.803023403,2.801946211
2.938159371,2.886529437,2.893578276,2.893820553,2.89171723,2.888846353,2.885728588,2.884528916
3.019951626,2.969305566,2.975684453,2.975127505,2.972358157,2.968966731,2.965443481,2.964113672
3.098576062,3.04893352,3.054588331,3.053207048,3.049753097,3.045824374,3.041880192,3.040414745
3.173746551,3.125110976,3.129999933,3.127782514,3.123636534,3.119162707,3.114789321,3.11318508
3.245212689,3.197572841,3.201667962,3.198616539,3.193782682,3.188765261,3.183961908,3.182218186
3.31276201,3.266093887,3.269382019,3.265512854,3.260006912,3.254456796,3.249230313,3.247348928
3.376221307,3.330490399,3.332973783,3.328316985,3.322166063,3.316103298,3.310467965,3.308453192
3.435456999,3.390620748,3.392317047,3.386915829,3.380157637,3.373610858,3.367587974,3.365446418
3.490374496,3.446384833,3.447326618,3.441236095,3.433917875,3.426923464,3.420540696,3.41828108
3.540916579,3.497722406,3.497956106,3.491241694,3.483418827,3.476019812,3.469310324,3.466943211
3.587060845,3.544610343,3.544194696,3.536930167,3.528664532,3.520909273,3.513910691,3.511448146
3.628816311,3.587058977,3.586063048,3.578328336,3.569686473,3.561627209,3.554380459,3.55183567
3.666219299,3.625107631,3.623608488,3.615487338,3.606538521,3.59822983,3.59077791,3.588164788
3.699328768,3.658819545,3.656899709,3.64847728,3.639291565,3.630788814,3.623175549,3.62050832
3.728221254,3.688276404,3.686021178,3.677381694,3.668028043,3.659385892,3.651654734,3.648947544
3.752985606,3.713572663,3.711067466,3.702292024,3.692836574,3.684107601,3.676300521,3.673567073
3.773717699,3.734809873,3.732137697,3.723302322,3.713806867,3.705040364,3.697196881,3.694450112
3.790515269,3.752091197,3.749330299,3.740504301,3.731025051,3.722266038,3.71442242,3.711674242
3.803473045,3.765516267,3.762738171,3.753982888,3.744569539,3.735858029,3.728046693,3.725307791
3.812678267,3.775176509,3.772444403,3.763812349,3.754507491,3.745878024,3.738127161,3.735406867
3.818206704,3.781151022,3.778518606,3.770053047,3.760891927,3.75237339,3.744706799,3.742013041
3.820119221,3.783503083,3.781013888,3.772748856,3.763759489,3.755375202,3.747812364,3.74515168
3.818458951,3.782277303,3.779964496,3.771925219,3.763128827,3.754896903,3.747453251,3.744830879
3.813249071,3.77749744,3.775384105,3.767587826,3.758999587,3.750933524,3.743620908,3.741040937
3.804491191,3.769164863,3.767264737,3.759721872,3.751351928,3.743461409,3.73628873,3.733754303
3.792164351,3.757257647,3.755576255,3.748291845,3.740146525,3.732438389,3.725412359,3.722925921
3.776224587,3.741730271,3.740266411,3.733241795,3.725325,3.717804327,3.710930332,3.708493906
3.756605076,3.722513897,3.721261398,3.714496031,3.706810716,3.699481992,3.692765001,3.690380487
3.733216807,3.699517195,3.698466876,3.691960216,3.684509905,3.6773782,3.670823697,3.668493169
3.70594979,3.6726277,3.671769436,3.665522826,3.65831309,3.651385207,3.645000086,3.642726084
3.674674774,3.641713685,3.641038497,3.635056943,3.628096778,3.621382319,3.615175717,3.612961512
3.639245455,3.606626519,3.606128593,3.600422376,3.593725431,3.587237723,3.581221742,3.579071573
3.599501183,3.56720351,3.566882063,3.561468111,3.555053691,3.548810551,3.543000843,3.540920098
3.555270129,3.523271201,3.523132108,3.518035066,3.511928884,3.505953175,3.500369366,3.498364722
3.506372904,3.474649088,3.474706217,3.469959172,3.464193818,3.458513773,3.45317971,3.451259205
3.452626593,3.421153733,3.421429918,3.417074754,3.411689852,3.406339177,3.401282984,3.399456037
3.393849154,3.362603213,3.363130842,3.359218211,3.354260285,3.349278009,3.344531966,3.342809336
3.329864133,3.298821841,3.299643036,3.296231963,3.291754007,3.287184129,3.282784384,3.281178071
3.260505613,3.229645094,3.230811491,3.22796864,3.22402943,3.219920366,3.215906496,3.214429604
3.185623316,3.154924646,3.156496798,3.154295438,3.150958638,3.14736251,3.143776969,3.142443525
3.105087758,3.074533425,3.076579862,3.075098605,3.072431706,3.069403521,3.066291001,3.06511575
3.018795354,2.98837058,2.990966589,2.990287963,2.988361114,2.98595787,2.983364618,2.982362809
2.926673354,2.896366265,2.899592446,2.899801367,2.898686173,2.896965942,2.894939061,2.894126224
2.828684526,2.798486132,2.802426806,2.803609034,2.803377347,2.802398379,2.800985153,2.800376886
2.724831454,2.694735454,2.699476978,2.701717606,2.702440387,2.702260264,2.701507523,2.701119295
2.615160389,2.585162785,2.590791849,2.594173882,2.595920147,2.596595014,2.596548567,2.59639554
2.499764554,2.469863089,2.476465039,2.481068101,2.48390399,2.485487878,2.486192016,2.486288888
2.378786856,2.348980301,2.356637533,2.362536725,2.366524691,2.369068937,2.370566,2.370926879
2.252421956,2.222709265,2.231499721,2.238764623,2.243962751,2.247515504,2.249845522,2.250483804
2.120917661,2.091297037,2.101292813,2.109986647,2.116448074,2.121053877,2.124254245,2.125182521
1.984575635,1.955043539,1.966309618,1.976488529,1.98426096,1.989960378,1.994065573,1.995295528
1.843751414,1.814301559,1.82689467,1.83860712,1.847732397,1.854561681,1.859602973,1.861145296
1.698853732,1.669476115,1.683443702,1.696729935,1.707243651,1.715234399,1.721239566,1.723103845
1.550343167,1.521023168,1.536402474,1.551294044,1.563225157,1.572403972,1.579396975,1.581591589
