Values,Values_10_18_12,Values_10_29_10,Values_10_39_21,Values_10_49_27,Values_10_59_32,Values_11_09_34,Values_11_20_20,Values_11_31_02,Values_11_41_27,Values_11_51_53,Values_12_02_21,Values_12_12_46,Values_12_23_10,Values_12_33_13,Values_12_42_44,Values_12_52_25,Values_13_02_46,Values_13_14_20,Values_13_26_28,Values_13_37_54,Values_13_50_00,Values_14_02_18,Values_14_14_24,Values_14_26_08,Values_14_38_28,Values_14_50_48,Values_15_01_34,Values_15_10_59,Values,Values_15_20_57,Values_15_30_34,Values_15_40_10,Values_15_49_43,Values_15_59_17,Values_16_08_49,Values_16_18_23,Values_16_27_54,Values_16_37_26,Values_16_46_59,Values_16_56_30,Values_17_06_02,Values_17_15_35,Values_17_25_05,Values_17_34_36,Values_17_44_05,Values_17_53_36,Values_18_03_07,Values_18_12_37,Values_18_22_08,Values_18_31_37,Values_18_41_06,Values_18_50_35,Values_19_00_06,Values_19_09_36,Values_19_19_06,Values_19_28_34,Values_19_38_02,Values_19_47_30,Values_19_57_00,Values_20_06_30,Values_20_16_00,Values_20_25_29,Values_20_34_58,Values_20_44_25,Values_20_53_53,Values_21_03_22,Values_21_12_51,Values_21_22_19,Values_21_31_47,Values_21_41_15,Values_21_50_42,Values_22_00_13,Values_22_09_44,Values_22_19_19,Values_22_28_47,Values_22_38_13,Values_22_47_40,Values_22_57_08,Values_23_06_36,Values_23_16_04,Values_23_25_30,Values_23_34_56,Values_23_44_24,Values_23_53_52,Values_00_03_17,Values_00_12_43,Values_00_22_10,Values_00_31_36,Values_00_41_01,Values_00_50_27,Values_00_59_52,Values_01_09_18,Values_01_18_45,Values_01_28_10,Values_01_37_33,Values_01_46_59,Values_01_56_25,Values_02_05_51,Values_02_15_13,Values_02_24_07,Values_02_33_00
-0.025450831,0.29919799,0.612516069,0.716930943,0.776059092,0.83957512,0.950353336,1.071143385,1.13265498,1.174051709,1.211432447,1.243501393,1.269252603,1.306126211,1.356403536,1.412089642,1.47403151,1.539411416,1.604447742,1.665787866,1.720871733,1.768171574,1.807229156,1.838432765,1.862673435,1.881037185,1.894601793,1.904333426,1.911050818,1.912292032,1.915425898,1.918000027,1.919204517,1.919380315,1.918795102,1.917657546,1.916129019,1.914333181,1.912363811,1.910291177,1.908167198,1.906029597,1.903905213,1.901812632,1.899764247,1.897767875,1.895828003,1.893946752,1.892124615,1.890361016,1.888654727,1.887004176,1.885407672,1.883863554,1.882370287,1.880926508,1.879531037,1.878182855,1.876881052,1.875624758,1.874413056,1.873244878,1.872118908,1.871033468,1.869986428,1.868975112,1.867996238,1.867045873,1.866119417,1.865211621,1.864316639,1.863428108,1.862539252,1.861643012,1.860732183,1.859799557,1.858838053,1.857840836,1.856801402,1.855713644,1.854571876,1.853370831,1.852105636,1.85077177,1.849365008,1.847881386,1.846317159,1.844668804,1.842933036,1.841106856,1.839187634,1.837173198,1.835061945,1.832852942,1.830546018,1.828141831,1.825641904,1.823048621,1.820365192,1.81759558,1.814744395,1.811816777
-0.02318362,0.301060476,0.61393117,0.718185432,0.777222483,0.84064012,0.951243044,1.071837778,1.13324986,1.17457862,1.211895857,1.243907655,1.269610595,1.306412614,1.356591138,1.412168083,1.47398909,1.539241704,1.604151509,1.665372405,1.720349347,1.767557535,1.806539582,1.837682961,1.861876923,1.880205338,1.893743874,1.903456817,1.910161315,1.911400147,1.914527999,1.91709719,1.918299368,1.918474829,1.91789074,1.916755368,1.915229777,1.91343739,1.911471806,1.909403158,1.907283265,1.905149778,1.903029486,1.900940936,1.8988965,1.896903978,1.894967848,1.893090228,1.89127161,1.889511418,1.887808425,1.886161065,1.884567649,1.883026519,1.881536142,1.880095158,1.87870239,1.87735682,1.87605754,1.874803682,1.87359433,1.872428419,1.871304634,1.870221301,1.869176293,1.868166941,1.867189969,1.866241451,1.865316795,1.864410763,1.863517521,1.862630718,1.86174359,1.860849092,1.859940035,1.859009223,1.85804959,1.857054313,1.856016901,1.85493126,1.853791712,1.852593004,1.851330271,1.849999,1.848594976,1.847114241,1.845553058,1.843907911,1.84217552,1.840352894,1.838437407,1.836426892,1.834319749,1.832115046,1.829812613,1.827413107,1.824918047,1.822329814,1.819651612,1.816887395,1.814041765,1.811119851
-0.019070713,0.3047551,0.617189078,0.721284196,0.780230236,0.843548888,0.953975014,1.074373827,1.135686475,1.176948714,1.214204165,1.246158258,1.27181024,1.308538304,1.358617508,1.414086918,1.475789542,1.540917231,1.605702228,1.666804598,1.721674075,1.768788686,1.807691819,1.8387701,1.862910988,1.881196218,1.894699361,1.904382842,1.911062248,1.912295561,1.915406937,1.91795621,1.919139745,1.919297205,1.918695265,1.917541815,1.915997628,1.914185912,1.912200103,1.910110221,1.907968004,1.905811046,1.903666104,1.901551705,1.899480214,1.89745943,1.895493837,1.893585561,1.891735106,1.889941905,1.888204746,1.886522072,1.884892206,1.8833135,1.881784431,1.880303648,1.878869983,1.877482426,1.876140082,1.874842093,1.873587555,1.872375421,1.871204394,1.870072823,1.868978608,1.867919113,1.866891099,1.865890682,1.864913321,1.863953832,1.863006442,1.862064866,1.861122415,1.860172119,1.859206869,1.858219556,1.857203201,1.856151072,1.855056767,1.853914284,1.852718036,1.851462856,1.850143968,1.848756939,1.847297634,1.845762164,1.844146861,1.842448266,1.84066315,1.838788563,1.836821912,1.834761052,1.832604396,1.830351017,1.828000737,1.825554201,1.823012905,1.820379202,1.817656259,1.814847994,1.811958966,1.808994262
-0.012685105,0.310701917,0.622714424,0.72665372,0.785508637,0.848726519,0.958973035,1.079174837,1.140387961,1.181585676,1.218782622,1.250680836,1.276281467,1.312934923,1.362915166,1.418278447,1.479864163,1.544867821,1.609527961,1.670510587,1.725270061,1.772287154,1.811105999,1.842112381,1.866191983,1.884424427,1.897881217,1.907522948,1.914163671,1.915388013,1.918471499,1.920984741,1.922132292,1.922253204,1.921613678,1.920421244,1.918836401,1.916982156,1.914951801,1.912815254,1.910624188,1.908416157,1.906217898,1.904047935,1.901918636,1.899837814,1.897809969,1.895837247,1.893920172,1.892058199,1.890250135,1.888494442,1.88678946,1.88513356,1.883525232,1.881963144,1.880446141,1.878973232,1.877543539,1.876156227,1.874810418,1.873505095,1.872238996,1.871010517,1.869817606,1.86865769,1.867527598,1.866423527,1.865341027,1.864275016,1.863219834,1.862169317,1.86111691,1.860055786,1.858978985,1.857879558,1.856750687,1.855585809,1.854378695,1.853123511,1.851814845,1.850447698,1.849017458,1.847519849,1.845950886,1.844306821,1.842584109,1.840779406,1.838889579,1.836911758,1.83484341,1.832682436,1.830427273,1.828076999,1.825631428,1.823091177,1.820457701,1.817733301,1.814921082,1.812024889,1.809049207,1.805999041
-0.003772991,0.319146034,0.63075785,0.734546889,0.79331035,0.856424268,0.966486816,1.086489932,1.147603182,1.188738911,1.225882299,1.257728957,1.283280058,1.319859671,1.36974172,1.424999519,1.486468311,1.551346935,1.615880045,1.676739453,1.731384074,1.778297406,1.817024337,1.847949841,1.871957866,1.890125961,1.903523599,1.91310958,1.919696454,1.920908014,1.923951117,1.926410908,1.927503959,1.927568727,1.926870957,1.925617826,1.923969576,1.922049021,1.919949322,1.917740305,1.91547359,1.913186702,1.91090637,1.908651123,1.906433346,1.904260873,1.902138233,1.900067599,1.898049522,1.896083489,1.894168331,1.892302536,1.89048447,1.888712523,1.88698521,1.885301217,1.883659416,1.882058838,1.880498634,1.878978001,1.877496099,1.876051958,1.874644371,1.873271798,1.871932267,1.870623291,1.869341805,1.868084126,1.866845937,1.865622306,1.864407739,1.863196253,1.861981487,1.860756825,1.85951553,1.858250882,1.856956307,1.855625489,1.854252452,1.852831619,1.851357831,1.84982634,1.848232779,1.846573108,1.844843566,1.84304061,1.841160888,1.839201222,1.837158626,1.835030349,1.832813952,1.830507402,1.828109174,1.825618358,1.823034754,1.82035894,1.817592314,1.814737098,1.811796305,1.808773678,1.805673588,1.802500924
0.007977224,0.330389144,0.641627099,0.745273888,0.803945351,0.866950611,0.976823188,1.096625307,1.157637964,1.198714673,1.235811017,1.26761278,1.293118087,1.329625573,1.379410031,1.434561685,1.495911598,1.560661937,1.625063436,1.685793667,1.740316089,1.787116951,1.825741953,1.856575313,1.8804993,1.89858944,1.911913224,1.921427696,1.927943938,1.92913854,1.932127656,1.934515241,1.935534077,1.935522039,1.934744422,1.933408062,1.931672945,1.929661704,1.92746737,1.925159689,1.922790231,1.920396503,1.91800523,1.915634958,1.913298093,1.911002501,1.908752744,1.906551031,1.904397949,1.902293017,1.9002351,1.898222718,1.896254263,1.894328155,1.892442937,1.890597321,1.888790208,1.887020663,1.885287874,1.883591081,1.881929498,1.880302214,1.878708098,1.877145699,1.875613147,1.874108077,1.872627563,1.871168082,1.869725494,1.868295069,1.866871532,1.865449142,1.864021797,1.86258316,1.861126787,1.859646268,1.858135351,1.85658805,1.854998725,1.853362139,1.851673473,1.849928314,1.848122623,1.846252675,1.844315008,1.842306358,1.840223628,1.838063868,1.835824286,1.833502297,1.831095587,1.828602213,1.826020704,1.82335017,1.820590393,1.817741902,1.814806019,1.811784865,1.808681332,1.805499023,1.80224216,1.798915475
0.02291348,0.344767826,0.655665427,0.759180674,0.817759395,0.880649693,0.990324521,1.109922641,1.17083349,1.211854448,1.248911732,1.280677445,1.306142271,1.342579777,1.392266446,1.447309346,1.508535962,1.57315211,1.63741468,1.698007016,1.752397159,1.799074183,1.837584683,1.868312201,1.892137398,1.910133837,1.923367078,1.932792451,1.939219604,1.940392691,1.943313076,1.945608325,1.946531999,1.946421397,1.945541364,1.944098398,1.942252232,1.940125312,1.937810547,1.9353776,1.932877997,1.930349228,1.927818023,1.925302944,1.922816428,1.920366377,1.917957389,1.915591716,1.913269984,1.910991751,1.90875592,1.906561045,1.904405553,1.902287894,1.900206644,1.89816055,1.896148548,1.894169744,1.892223372,1.890308727,1.888425089,1.886571629,1.884747307,1.882950785,1.881180325,1.879433714,1.877708203,1.876000468,1.874306596,1.872622107,1.870942003,1.869260845,1.867572858,1.865872052,1.864152353,1.862407737,1.860632356,1.858820636,1.856967362,1.855067722,1.853117322,1.851112174,1.849048647,1.846923415,1.844733392,1.842475668,1.840147468,1.837746128,1.835269108,1.832714029,1.830078741,1.827361418,1.824560662,1.821675606,1.818706016,1.815652365,1.812515878,1.809298552,1.806003127,1.802633032,1.799192301,1.795685465
0.041395254,0.362628538,0.673226665,0.776624064,0.835109113,0.897876411,1.007343814,1.126734178,1.18754137,1.228510001,1.265537551,1.297278048,1.322708895,1.359078403,1.40866555,1.463594424,1.524690275,1.589163211,1.653276426,1.713719081,1.767963876,1.814502818,1.852883503,1.883488899,1.907198138,1.925082886,1.938206826,1.947523615,1.953841496,1.954988122,1.957823859,1.960005241,1.960811556,1.960579521,1.959573532,1.957999738,1.956017611,1.953749411,1.951287914,1.948702701,1.946045251,1.943353038,1.940652795,1.937963105,1.935296436,1.932660726,1.930060619,1.927498407,1.924974762,1.922489283,1.920040913,1.917628244,1.91524974,1.91290389,1.910589304,1.908304769,1.906049263,1.903821941,1.901622092,1.899449081,1.897302268,1.895180917,1.893084108,1.891010635,1.888958923,1.886926944,1.884912162,1.882911495,1.880921304,1.878937413,1.876955158,1.874969464,1.872974948,1.870966041,1.868937115,1.866882612,1.864797167,1.862675708,1.860513527,1.858306327,1.856050229,1.853741753,1.851377767,1.848955426,1.846472098,1.843925304,1.841312659,1.838631852,1.835880647,1.83305692,1.830158723,1.827184378,1.824132576,1.821002487,1.817793859,1.8145071,1.811143325,1.80770438,1.804192824,1.800611875,1.796965339,1.793257504
0.063766586,0.384300518,0.694648117,0.797944645,0.856334935,0.918969361,1.028217655,1.147395702,1.208096602,1.2490163,1.286024602,1.31775245,1.343156533,1.379459165,1.428942695,1.483748813,1.544702742,1.609019831,1.672969766,1.733247572,1.787330701,1.833714224,1.871946873,1.902411146,1.925984734,1.943737477,1.95673123,1.965918019,1.9721047,1.973219529,1.975953528,1.977998118,1.978663642,1.978286226,1.977129799,1.975400148,1.973256472,1.970820828,1.968185851,1.965421031,1.962577794,1.959693591,1.956795157,1.953901093,1.951023898,1.948171549,1.945348732,1.942557783,1.93979942,1.937073285,1.934378365,1.931713291,1.929076568,1.926466724,1.92388241,1.921322456,1.91878589,1.916271923,1.913779911,1.911309296,1.908859535,1.906430007,1.904019926,1.901628249,1.899253588,1.896894136,1.894547608,1.892211209,1.889881618,1.887555018,1.885227136,1.882893326,1.880548665,1.878188077,1.875806454,1.873398787,1.870960276,1.868486436,1.865973155,1.863416741,1.860813917,1.858161801,1.855457846,1.852699773,1.849885491,1.847013022,1.844080447,1.841085873,1.838027425,1.834903286,1.831711751,1.828451319,1.825120794,1.821719396,1.818246858,1.814703514,1.811090355,1.807409054,1.803661955,1.799852034,1.795982823,1.792058321
0.090328234,0.410067918,0.720222633,0.823438831,0.881733168,0.944222952,1.053238378,1.172198724,1.232789743,1.27366365,1.310664108,1.34239325,1.367777924,1.404013158,1.453385696,1.508056005,1.568852479,1.632996967,1.696765813,1.756859915,1.810761574,1.856969071,1.895032412,1.925333743,1.948749403,1.96634747,1.979188021,1.988221475,1.994253323,1.995330638,1.997944681,1.99982823,2.000328381,1.999780647,1.998448464,1.996537233,1.994205855,1.991576165,1.988740641,1.985768663,1.982711595,1.979606855,1.976481172,1.973353164,1.970235353,1.967135754,1.964059093,1.961007751,1.957982491,1.954982998,1.952008302,1.949057078,1.946127871,1.943219251,1.940329914,1.937458738,1.934604806,1.931767393,1.92894593,1.926139952,1.923349023,1.920572655,1.917810221,1.915060862,1.912323409,1.909596308,1.906877563,1.904164707,1.90145479,1.898744404,1.896029726,1.893306601,1.890570636,1.887817318,1.885042138,1.882240711,1.879408893,1.876542866,1.873639205,1.870694908,1.867707395,1.864674468,1.861594256,1.858465131,1.855285623,1.852054339,1.8487699,1.845430894,1.842035873,1.838583377,1.835071988,1.831500419,1.827867611,1.824172847,1.820415852,1.816596883,1.81271679,1.808777052,1.80477977,1.800727638,1.796623875,1.792472145
