Values_11_33_14,Values_11_41_05,Values_11_48_55,Values_11_56_46,Values_12_04_38,Values_12_12_29,Values_12_20_24,Values_12_26_03
0.731542219,0.769327667,0.802709472,0.832946849,0.859844488,0.883016483,0.902366425,0.914066146
0.745425178,0.783154309,0.81648727,0.846680697,0.873540518,0.8966819,0.916008605,0.927695817
0.747287046,0.784943323,0.818211503,0.848346019,0.875153317,0.898249388,0.917538216,0.929202502
0.748819177,0.786398036,0.819596953,0.84966829,0.876418828,0.89946532,0.918711979,0.930350261
0.752791876,0.790290256,0.823416868,0.853422099,0.880112968,0.903106946,0.922308485,0.933918643
0.759860804,0.797275968,0.830327539,0.860264027,0.886892613,0.909831458,0.928985257,0.940565413
0.770414208,0.807744207,0.840718737,0.870584519,0.897148862,0.920030601,0.939134679,0.950683413
0.784880891,0.822124713,0.855021065,0.884814956,0.911313831,0.934137205,0.953190278,0.964706655
0.803765885,0.840923669,0.873741758,0.903463513,0.929896571,0.952661152,0.971662728,0.983146361
0.827576963,0.864650248,0.897391261,0.927041766,0.953409695,0.976116023,0.99506652,1.006517645
0.856799196,0.893791197,0.926457833,0.956039306,0.982344001,1.00499373,1.023894598,1.035314144
0.891854968,0.928770861,0.961367581,0.990883787,1.017128535,1.039724583,1.05857843,1.069968104
0.933063595,0.969910813,1.002444102,1.03190057,1.058090226,1.080636926,1.09944764,1.110809993
0.980605714,1.01739424,1.049872852,1.079277084,1.105418245,1.127921483,1.146694342,1.158032837
1.034489568,1.071232202,1.103667397,1.13302906,1.15913022,1.181597551,1.200339313,1.21165838
1.094523753,1.131236354,1.163642099,1.192973191,1.219044863,1.241485607,1.260204577,1.271509639
1.160296397,1.196998073,1.229391203,1.258706173,1.284760984,1.307186286,1.325892345,1.337189831
1.231162592,1.267875828,1.300276153,1.329591985,1.355644718,1.378067559,1.396772159,1.408069489
1.306240705,1.342991423,1.37542177,1.404757995,1.430825583,1.453260756,1.47197687,1.48328241
1.3844183,1.421235824,1.453722004,1.48310066,1.50920212,1.53166614,1.550408168,1.561731156
1.464367785,1.501284715,1.533855409,1.56330092,1.589457229,1.611968201,1.630751823,1.64210226
1.544571992,1.581623968,1.614310529,1.643849514,1.670083413,1.692660836,1.711502818,1.722891337
1.623358457,1.660583824,1.69341998,1.723080983,1.74941672,1.772081238,1.790999198,1.802436895
1.698943813,1.736383161,1.769404632,1.799217779,1.825680786,1.848453887,1.867466007,1.878964253
1.769480712,1.807176311,1.840420341,1.870416913,1.897033425,1.91993709,1.939061796,1.95063202
1.83312332,1.871118453,1.904623242,1.934835189,1.961631805,1.984688109,2.003943721,2.015597176
1.888062241,1.926400429,1.960204502,1.990663889,2.017667082,2.04089777,2.060302114,2.072049637
1.932645978,1.971370111,2.0055116,2.036249991,2.063485579,2.0869116,2.106481611,2.118333361
1.965306657,2.00445807,2.038973954,2.070021768,2.097514359,2.121155394,2.140906713,2.152871918
1.98486337,2.024480812,2.059406074,2.090791876,2.118564268,2.142438225,2.16238477,2.174471468
